league,tier,total_bets,wins,hit_rate,total_pnl,roi,avg_odds,avg_edge,seasons_positive,seasons_total,season_rois
Singapore: S.League,3,316,121,0.3829,869.78,27.52,3.445,0.2477,5,5,"{'2010-11': 58.05, '2011-12': 29.47, '2012-13': 38.01, '2013-14': 8.38, '2014-15': 27.7}"
Scotland: League Two,4,233,80,0.3433,286.48,12.3,3.356,0.281,2,2,"{'2013-14': 12.07, '2014-15': 12.5}"
Ukraine: Division 2,3,460,148,0.3217,430.64,9.36,3.493,0.2591,3,4,"{'2011-12': -11.58, '2012-13': 13.06, '2013-14': 30.13, '2014-15': 3.04}"
England: Vanarama Conference South,3,269,89,0.3309,220.97,8.21,3.351,0.2601,1,1,{'2014-15': 8.21}
Estonia: Esi Liiga,3,181,58,0.3204,114.84,6.34,3.378,0.2692,2,4,"{'2011-12': 63.62, '2012-13': -17.42, '2013-14': -3.91, '2014-15': 19.02}"
Austria: Erste Liga,2,736,235,0.3193,405.82,5.51,3.431,0.2602,5,7,"{'2008-09': -1.28, '2009-10': 6.43, '2010-11': 13.66, '2011-12': 0.07, '2012-13': -3.11, '2013-14': 7.75, '2014-15': 15.0}"
Czech Republic: Synot liga,3,122,37,0.3033,63.67,5.22,3.538,0.2661,1,1,{'2014-15': 5.22}
Sweden: Division 1 - Norra,3,641,205,0.3198,297.77,4.65,3.414,0.2709,5,7,"{'2008-09': 14.86, '2009-10': 16.18, '2010-11': 14.89, '2011-12': -21.42, '2012-13': 0.96, '2013-14': 15.5, '2014-15': -5.87}"
Scotland: Championship,2,191,59,0.3089,84.05,4.4,3.492,0.2684,2,2,"{'2013-14': 2.66, '2014-15': 6.67}"
Scotland: Premiership,1,260,85,0.3269,107.68,4.14,3.377,0.2563,1,2,"{'2013-14': 10.94, '2014-15': -2.45}"
Australia: Western Australia Premier League,1,474,155,0.327,186.54,3.94,3.294,0.2598,4,7,"{'2008-09': 43.21, '2009-10': 23.27, '2010-11': -18.69, '2011-12': 15.78, '2012-13': -4.81, '2013-14': 5.47, '2014-15': -12.85}"
Singapore: S-League,3,254,78,0.3071,97.93,3.86,3.607,0.2607,3,5,"{'2006-07': -18.06, '2007-08': -22.15, '2008-09': 2.08, '2009-10': 25.01, '2010-11': 2.26}"
