date,tour,series,surface,odds,model_prob,edge,won,pnl
2022-01-03,ATP,ATP250,Hard,2.1,0.631465470790863,0.15527499460038685,1,11.0
2022-01-04,ATP,ATP250,Hard,1.73,0.6524598956108093,0.0744252135298844,0,-10.0
2022-01-04,ATP,ATP250,Hard,2.04,0.5428881347179413,0.052692056286568756,1,10.4
2022-01-04,ATP,ATP250,Hard,1.9,0.6203302264213562,0.09401443694767198,1,9.0
2022-01-06,ATP,ATP250,Hard,2.18,0.5224916577339173,0.06377606140364206,0,-10.0
2022-01-07,ATP,ATP250,Hard,2.26,0.540897536277771,0.09841966017157633,0,-10.0
2022-01-08,ATP,ATP250,Hard,2.14,0.519136106967926,0.05184638734175778,1,11.400000000000002
2022-01-09,ATP,ATP250,Hard,2.34,0.510145390033722,0.08279496268329456,0,-10.0
2022-01-04,ATP,ATP250,Hard,2.67,0.442422491312027,0.06789065610603445,0,-10.0
2022-01-04,ATP,ATP250,Hard,3.05,0.42965677976608274,0.10178792730706632,0,-10.0
2022-01-05,ATP,ATP250,Hard,1.92,0.6201501727104187,0.09931683937708535,1,9.2
2022-01-05,ATP,ATP250,Hard,1.48,0.7541593432426452,0.07848366756696956,1,4.8
2022-01-05,ATP,ATP250,Hard,3.1,0.3958955526351928,0.07331490747390251,0,-10.0
2022-01-05,ATP,ATP250,Hard,1.43,0.7721925973892212,0.07289189808852181,0,-10.0
2022-01-06,ATP,ATP250,Hard,1.71,0.7672996491193771,0.18250432748195022,0,-10.0
2022-01-06,ATP,ATP250,Hard,1.64,0.7074226945638656,0.09766659700289004,0,-10.0
2022-01-07,ATP,ATP250,Hard,1.66,0.6562471389770508,0.05383750042283386,1,6.6
2022-01-07,ATP,ATP250,Hard,1.73,0.7185865998268127,0.14055191774588782,1,7.3
2022-01-10,ATP,ATP250,Hard,2.07,0.5809494018554687,0.09785761441585517,1,10.7
2022-01-10,ATP,ATP250,Hard,2.37,0.5559334039688111,0.13399247569876893,1,13.700000000000001
2022-01-10,ATP,ATP250,Hard,1.71,0.657087218761444,0.07229189712401718,0,-10.0
2022-01-11,ATP,ATP250,Hard,3.29,0.42104172706604004,0.11709035928488504,0,-10.0
2022-01-11,ATP,ATP250,Hard,2.42,0.4863629400730133,0.0731397995771455,0,-10.0
2022-01-11,ATP,ATP250,Hard,2.17,0.5631183564662934,0.10228886337873577,1,11.7
2022-01-11,ATP,ATP250,Hard,2.23,0.5478181600570678,0.09938766678352523,1,12.3
2022-01-12,ATP,ATP250,Hard,1.35,0.8184502631425857,0.07770952240184503,1,3.500000000000001
2022-01-12,ATP,ATP250,Hard,2.09,0.7416662335395813,0.2631973340180501,0,-10.0
2022-01-12,ATP,ATP250,Hard,2.18,0.5629303276538848,0.10421473132360964,1,11.8
2022-01-13,ATP,ATP250,Hard,2.95,0.46607157588005066,0.12708852503259305,1,19.5
2022-01-13,ATP,ATP250,Hard,2.75,0.4595191299915314,0.09588276635516774,0,-10.0
2022-01-14,ATP,ATP250,Hard,2.11,0.6770128101110459,0.20307916082194633,1,11.099999999999998
