date,tour,series,surface,odds,model_prob,edge,won,pnl
2024-01-01,ATP,ATP250,Hard,1.33,0.7899903297424317,0.038110630494311404,1,3.3000000000000007
2024-01-02,ATP,ATP250,Hard,4.16,0.3067273736000061,0.06634275821539076,1,31.6
2024-01-02,ATP,ATP250,Hard,1.76,0.6273193359375,0.05913751775568177,0,-10.0
2024-01-02,ATP,ATP250,Hard,3.02,0.3905988812446594,0.05947305343008985,0,-10.0
2024-01-02,ATP,ATP250,Hard,1.82,0.697781503200531,0.14833095374998162,1,8.200000000000001
2024-01-02,ATP,ATP250,Hard,2.57,0.49771080613136287,0.10860574776560411,1,15.7
2024-01-03,ATP,ATP250,Hard,2.49,0.44633146524429324,0.04472503954148205,0,-10.0
2024-01-05,ATP,ATP250,Hard,2.96,0.48813159465789796,0.15029375682006013,0,-10.0
2024-01-07,ATP,ATP250,Hard,1.93,0.5540329575538635,0.0358982425279567,1,9.299999999999999
2024-01-01,ATP,ATP250,Hard,1.7,0.658424437046051,0.07018914292840395,0,-10.0
2024-01-01,ATP,ATP250,Hard,1.97,0.5963140487670898,0.08869983556912031,1,9.7
2024-01-01,ATP,ATP250,Hard,1.55,0.7084218502044678,0.06326055988188717,1,5.5
2024-01-01,ATP,ATP250,Hard,3.48,0.35790640115737915,0.07055007931829871,0,-10.0
2024-01-02,ATP,ATP250,Hard,2.41,0.5346694409847259,0.11973168164862635,0,-10.0
2024-01-02,ATP,ATP250,Hard,3.03,0.40583368539810183,0.0758006820977718,0,-10.0
2024-01-02,ATP,ATP250,Hard,1.56,0.673301738500595,0.03227609747495408,1,5.6000000000000005
2024-01-02,ATP,ATP250,Hard,2.51,0.5403812766075134,0.14197490210552138,0,-10.0
2024-01-02,ATP,ATP250,Hard,2.42,0.513400810956955,0.10017767046108722,0,-10.0
2024-01-02,ATP,ATP250,Hard,1.2,0.9121921062469482,0.07885877291361487,1,1.9999999999999996
2024-01-03,ATP,ATP250,Hard,1.79,0.6534570515155792,0.09479783363848426,1,7.9
2024-01-04,ATP,ATP250,Hard,2.85,0.6290096580982208,0.2781324651157647,0,-10.0
2024-01-05,ATP,ATP250,Hard,2.83,0.5427913784980773,0.18943448803871338,1,18.3
2024-01-05,ATP,ATP250,Hard,1.29,0.8512976884841919,0.07610389003457951,1,2.9000000000000004
2024-01-06,ATP,ATP250,Hard,2.28,0.4818139970302582,0.04321750580218797,0,-10.0
2024-01-06,ATP,ATP250,Hard,1.15,0.9108104944229126,0.041245277031608185,1,1.4999999999999991
2024-01-07,ATP,ATP250,Hard,1.29,0.8167470067739486,0.04155320832433629,1,2.9000000000000004
2024-01-08,ATP,ATP250,Hard,4.46,0.36830448508262636,0.14408923844585506,0,-10.0
2024-01-08,ATP,ATP250,Hard,2.43,0.6475938737392426,0.23607123999438667,0,-10.0
2024-01-08,ATP,ATP250,Hard,2.59,0.6016181349754334,0.21551774887504727,1,15.899999999999999
2024-01-09,ATP,ATP250,Hard,2.06,0.5456752061843873,0.06023831298050375,1,10.600000000000001
2024-01-09,ATP,ATP250,Hard,1.96,0.7023760557174683,0.19217197408481523,0,-10.0
2024-01-09,ATP,ATP250,Hard,4.25,0.40542343258857727,0.17012931494151845,0,-10.0
2024-01-09,ATP,ATP250,Hard,2.41,0.45721321105957036,0.0422754517234708,0,-10.0
2024-01-09,ATP,ATP250,Hard,3.6,0.33358975052833556,0.05581197275055777,0,-10.0
2024-01-10,ATP,ATP250,Hard,1.77,0.6545915186405182,0.08961976722808884,1,7.7
2024-01-10,ATP,ATP250,Hard,1.26,0.8708127021789551,0.07716190852816152,1,2.6
2024-01-10,ATP,ATP250,Hard,2.73,0.39885166883468626,0.03255130253431998,0,-10.0
2024-01-10,ATP,ATP250,Hard,1.94,0.5548240900039673,0.03936017247819401,0,-10.0
2024-01-11,ATP,ATP250,Hard,2.92,0.3977063536643982,0.0552406002397407,0,-10.0
2024-01-11,ATP,ATP250,Hard,1.89,0.5612435579299927,0.032143028829463516,0,-10.0
2024-01-11,ATP,ATP250,Hard,2.16,0.4932626605033874,0.030299697540424497,1,11.600000000000001
2024-01-13,ATP,ATP250,Hard,1.6,0.688187325000763,0.06318732500076296,0,-10.0
2024-01-08,ATP,ATP250,Hard,2.83,0.5477307796478271,0.19437388918846316,0,-10.0
2024-01-08,ATP,ATP250,Hard,1.97,0.5520309567451477,0.04441674354717817,1,9.7
2024-01-08,ATP,ATP250,Hard,2.64,0.48556058406829833,0.10677270528041954,1,16.400000000000002
2024-01-09,ATP,ATP250,Hard,1.64,0.7029681205749512,0.09321202301397558,0,-10.0
2024-01-09,ATP,ATP250,Hard,2.96,0.4189834117889404,0.08114557395110256,1,19.6
2024-01-10,ATP,ATP250,Hard,2.15,0.5639121294021606,0.09879585033239319,1,11.5
2024-01-10,ATP,ATP250,Hard,3.33,0.4468659937381744,0.14656569343787412,1,23.3
2024-01-10,ATP,ATP250,Hard,2.71,0.4489498615264893,0.07994617148958894,1,17.1
2024-01-10,ATP,ATP250,Hard,1.86,0.5872959852218628,0.04966157661971227,1,8.600000000000001
2024-01-11,ATP,ATP250,Hard,5.0,0.31754371523857117,0.11754371523857116,0,-10.0
2024-01-11,ATP,ATP250,Hard,3.6,0.3501188337802887,0.0723410560025109,0,-10.0
2024-01-12,ATP,ATP250,Hard,3.72,0.3696661651134491,0.10084896081237382,1,27.200000000000003
2024-01-14,ATP,Grand Slam,Hard,1.35,0.7926712781190872,0.05193053737834652,1,3.500000000000001
2024-01-14,ATP,Grand Slam,Hard,2.95,0.46349914073944093,0.12451608989198332,0,-10.0
2024-01-14,ATP,Grand Slam,Hard,3.12,0.6443709969520569,0.3238581764392364,0,-10.0
2024-01-14,ATP,Grand Slam,Hard,2.38,0.549539840221405,0.12937177299451424,1,13.799999999999999
2024-01-14,ATP,Grand Slam,Hard,3.34,0.4057862401008606,0.10638504249607017,1,23.4
2024-01-15,ATP,Grand Slam,Hard,4.82,0.3013859272003174,0.09391704753226765,0,-10.0
2024-01-15,ATP,Grand Slam,Hard,2.22,0.5335284829139709,0.08307803246352052,0,-10.0
2024-01-15,ATP,Grand Slam,Hard,3.24,0.4188487768173218,0.11020680150867984,0,-10.0
2024-01-15,ATP,Grand Slam,Hard,2.32,0.46651829481124873,0.035483812052628017,1,13.2
2024-01-15,ATP,Grand Slam,Hard,2.37,0.4819715917110443,0.06003066344100216,1,13.700000000000001
2024-01-15,ATP,Grand Slam,Hard,2.3,0.46533985137939454,0.030557242683742325,1,12.999999999999998
2024-01-15,ATP,Grand Slam,Hard,2.59,0.4235611021518707,0.0374607160514846,0,-10.0
2024-01-15,ATP,Grand Slam,Hard,1.39,0.7767631411552429,0.057338680723588165,1,3.899999999999999
2024-01-15,ATP,Grand Slam,Hard,2.12,0.6020100235939025,0.13031191038635542,1,11.200000000000001
2024-01-15,ATP,Grand Slam,Hard,3.1,0.443136590719223,0.1205559455579327,1,21.0
2024-01-15,ATP,Grand Slam,Hard,3.49,0.39357132911682124,0.10703837782742298,0,-10.0
2024-01-15,ATP,Grand Slam,Hard,1.61,0.6545915186405182,0.03347350621815803,1,6.100000000000001
2024-01-16,ATP,Grand Slam,Hard,2.57,0.46917755007743833,0.08007249171167957,1,15.7
2024-01-16,ATP,Grand Slam,Hard,1.82,0.6006293177604676,0.05117876830991819,0,-10.0
2024-01-16,ATP,Grand Slam,Hard,4.06,0.3501188337802887,0.10381341506107683,0,-10.0
2024-01-16,ATP,Grand Slam,Hard,4.78,0.2955124616622925,0.08630744074179042,1,37.800000000000004
2024-01-16,ATP,Grand Slam,Hard,2.15,0.658424437046051,0.1933081579762836,0,-10.0
2024-01-17,ATP,Grand Slam,Hard,4.83,0.30199339985847473,0.09495406238435466,0,-10.0
2024-01-17,ATP,Grand Slam,Hard,2.46,0.6222583889961243,0.2157543239554739,0,-10.0
2024-01-17,ATP,Grand Slam,Hard,3.94,0.3008062243461609,0.04699911774717613,0,-10.0
2024-01-17,ATP,Grand Slam,Hard,1.33,0.8265189051628112,0.07463920591469098,1,3.3000000000000007
2024-01-18,ATP,Grand Slam,Hard,1.35,0.772143441438675,0.03140270069793427,1,3.500000000000001
2024-01-18,ATP,Grand Slam,Hard,4.0,0.3501188337802887,0.10011883378028869,1,30.0
2024-01-18,ATP,Grand Slam,Hard,1.92,0.6481022834777832,0.12726895014444983,1,9.2
2024-01-18,ATP,Grand Slam,Hard,2.57,0.6181289553642273,0.22902389699846853,0,-10.0
2024-01-18,ATP,Grand Slam,Hard,4.36,0.3432305812835693,0.11387278311843171,1,33.6
2024-01-18,ATP,Grand Slam,Hard,2.34,0.5179301023483276,0.0905796749979002,1,13.399999999999999
2024-01-18,ATP,Grand Slam,Hard,3.03,0.38109802007675175,0.05106501677642172,0,-10.0
2024-01-18,ATP,Grand Slam,Hard,1.23,0.9339830711483955,0.12097494106709472,1,2.3
2024-01-18,ATP,Grand Slam,Hard,1.11,0.9399601571261883,0.0390592562252875,1,1.100000000000001
2024-01-19,ATP,Grand Slam,Hard,1.61,0.7509570181369781,0.12983900571461793,1,6.100000000000001
2024-01-19,ATP,Grand Slam,Hard,1.31,0.8626693144440651,0.099310535818111,1,3.1000000000000005
2024-01-19,ATP,Grand Slam,Hard,3.19,0.4142117738723755,0.10073215004792407,1,21.9
2024-01-20,ATP,Grand Slam,Hard,1.36,0.7720439434051514,0.0367498257580926,0,-10.0
2024-01-20,ATP,Grand Slam,Hard,1.62,0.7102704763412475,0.0929865257239636,1,6.200000000000001
2024-01-20,ATP,Grand Slam,Hard,1.67,0.7156917214393616,0.11688932622978065,0,-10.0
2024-01-20,ATP,Grand Slam,Hard,3.03,0.4184552192687988,0.08842221596846878,1,20.299999999999997
2024-01-22,ATP,Grand Slam,Hard,1.38,0.8755558848381042,0.1509182036786838,1,3.799999999999999
2024-01-22,ATP,Grand Slam,Hard,1.24,0.8432576671242714,0.03680605422104555,1,2.4
2024-01-23,ATP,Grand Slam,Hard,4.42,0.2675933837890625,0.041349039897659784,0,-10.0
2024-01-24,ATP,Grand Slam,Hard,4.26,0.3458804488182068,0.1111386647806481,1,32.599999999999994
2024-01-28,ATP,Grand Slam,Hard,3.29,0.4426590144634247,0.1387076466822697,0,-10.0
2024-01-29,ATP,ATP250,Hard,2.19,0.49064372181892396,0.034022717252713885,1,11.899999999999999
2024-01-30,ATP,ATP250,Hard,2.71,0.4420470356941223,0.07304334565722193,0,-10.0
2024-01-30,ATP,ATP250,Hard,1.89,0.611279982328415,0.08217945322788578,1,8.899999999999999
2024-01-30,ATP,ATP250,Hard,2.01,0.5543066501617432,0.056794212350797846,0,-10.0
2024-01-30,ATP,ATP250,Hard,2.99,0.3844142556190491,0.049966095083932016,0,-10.0
2024-01-30,ATP,ATP250,Hard,2.51,0.4637386918067932,0.06533231730480116,1,15.099999999999998
2024-01-31,ATP,ATP250,Hard,1.36,0.7723775625228881,0.037083444875829374,1,3.600000000000001
2024-01-31,ATP,ATP250,Hard,3.81,0.538716733455658,0.2762495418546081,0,-10.0
2024-01-31,ATP,ATP250,Hard,3.29,0.41962037086486814,0.11566900308371314,1,22.9
2024-02-01,ATP,ATP250,Hard,1.83,0.5810165882110596,0.034568500779365685,1,8.3
2024-02-01,ATP,ATP250,Hard,1.56,0.6986824035644531,0.057656762538812134,1,5.6000000000000005
2024-02-01,ATP,ATP250,Hard,2.01,0.6420935988426208,0.1445811610316755,1,10.099999999999998
2024-02-02,ATP,ATP250,Hard,2.61,0.4189834117889404,0.03584164933683309,0,-10.0
2024-02-02,ATP,ATP250,Hard,3.84,0.29173062443733216,0.03131395777066548,0,-10.0
2024-02-02,ATP,ATP250,Hard,2.66,0.4189834117889404,0.043043562164880256,0,-10.0
2024-02-03,ATP,ATP250,Hard,2.59,0.5028261065483093,0.11672572044792318,1,15.899999999999999
2024-02-04,ATP,ATP250,Hard,1.98,0.5410473048686981,0.03599679981819304,1,9.8
2024-02-05,ATP,ATP250,Clay,2.61,0.45432479381561275,0.07118303136350546,1,16.099999999999998
2024-02-06,ATP,ATP250,Clay,3.66,0.3301450252532959,0.056920981537448956,0,-10.0
2024-02-06,ATP,ATP250,Clay,2.81,0.538716733455658,0.1828448473346615,0,-10.0
2024-02-06,ATP,ATP250,Clay,2.14,0.5352333664894104,0.06794364686324222,1,11.400000000000002
2024-02-07,ATP,ATP250,Clay,1.77,0.5969442307949067,0.03197247938247727,0,-10.0
2024-02-07,ATP,ATP250,Clay,2.09,0.5308224499225617,0.05235355040103051,0,-10.0
2024-02-07,ATP,ATP250,Clay,1.69,0.6775084495544433,0.08579247322308237,0,-10.0
2024-02-08,ATP,ATP250,Clay,3.46,0.35790640115737915,0.0688890601169167,0,-10.0
2024-02-08,ATP,ATP250,Clay,1.78,0.6121272444725037,0.05032949166351486,0,-10.0
2024-02-09,ATP,ATP250,Clay,4.73,0.3337704539299011,0.12235396344364322,0,-10.0
2024-02-09,ATP,ATP250,Clay,2.29,0.46917755007743833,0.03249632737001473,0,-10.0
2024-02-09,ATP,ATP250,Clay,2.01,0.6089045524597168,0.11139211464877141,0,-10.0
2024-02-09,ATP,ATP250,Clay,3.32,0.3348553776741028,0.03365055839699432,0,-10.0
2024-02-05,ATP,ATP250,Hard,2.38,0.5192310512065887,0.09906298397969798,0,-10.0
2024-02-06,ATP,ATP250,Hard,1.39,0.7598815798759461,0.04045711944429131,1,3.899999999999999
2024-02-06,ATP,ATP250,Hard,3.42,0.3651574313640594,0.07275977054534599,0,-10.0
2024-02-06,ATP,ATP250,Hard,1.49,0.7379431605339051,0.0668022209365896,1,4.9
2024-02-06,ATP,ATP250,Hard,1.8,0.6025018036365509,0.046946248080995345,1,8.0
2024-02-07,ATP,ATP250,Hard,3.09,0.48275760412216184,0.15913300865290614,0,-10.0
