date,tour,series,surface,odds,model_prob,edge,won,pnl
2023-01-01,WTA,WTA500,Hard,2.55,0.48494055271148684,0.09278368996638875,0,-10.0
2023-01-02,WTA,WTA500,Hard,1.37,0.7845544576644897,0.054627450365219654,0,-10.0
2023-01-02,WTA,WTA500,Hard,2.66,0.4748538672924042,0.09891401766834407,1,16.6
2023-01-02,WTA,WTA500,Hard,2.48,0.47794632315635677,0.07472051670474383,0,-10.0
2023-01-02,WTA,WTA500,Hard,2.22,0.5552124559879303,0.10476200553747994,0,-10.0
2023-01-03,WTA,WTA500,Hard,2.24,0.5516403138637542,0.10521174243518283,0,-10.0
2023-01-03,WTA,WTA500,Hard,2.01,0.5930916666984558,0.09557922888751047,0,-10.0
2023-01-03,WTA,WTA500,Hard,1.73,0.6627791941165924,0.08474451203566746,1,7.3
2023-01-03,WTA,WTA500,Hard,2.24,0.6051333904266357,0.15870481899806432,1,12.400000000000002
2023-01-04,WTA,WTA500,Hard,2.54,0.5224481165409088,0.12874732913933407,0,-10.0
2023-01-05,WTA,WTA500,Hard,2.18,0.6133624732494354,0.15464687691916018,0,-10.0
2023-01-05,WTA,WTA500,Hard,2.8,0.4417623937129974,0.08461953657014026,1,18.0
2023-01-06,WTA,WTA500,Hard,1.78,0.7451622128486634,0.18336446003967455,1,7.800000000000001
2023-01-06,WTA,WTA500,Hard,1.36,0.839201882481575,0.10390776483451625,1,3.600000000000001
2023-01-07,WTA,WTA500,Hard,1.32,0.8731576204299927,0.1155818628542351,0,-10.0
2023-01-08,WTA,WTA500,Hard,1.35,0.7944435238838196,0.05370278314307886,1,3.500000000000001
2023-01-02,WTA,WTA250,Hard,2.83,0.4619509279727936,0.10859403751342961,0,-10.0
2023-01-02,WTA,WTA250,Hard,2.61,0.4992077469825745,0.11606598453046718,1,16.099999999999998
2023-01-02,WTA,WTA250,Hard,3.03,0.40686594247818,0.07683293917784995,1,20.299999999999997
2023-01-03,WTA,WTA250,Hard,2.59,0.45264674425125123,0.06654635815086513,0,-10.0
2023-01-04,WTA,WTA250,Hard,2.63,0.5148092091083527,0.1345810722262234,0,-10.0
2023-01-04,WTA,WTA250,Hard,2.51,0.5791483759880066,0.18074200148601455,1,15.099999999999998
2023-01-04,WTA,WTA250,Hard,1.45,0.7509024143218994,0.061247241908106265,0,-10.0
2023-01-04,WTA,WTA250,Hard,1.43,0.8166685253381729,0.11736782603747353,1,4.299999999999999
2023-01-05,WTA,WTA250,Hard,2.81,0.4390908718109131,0.08321898568991665,1,18.1
2023-01-06,WTA,WTA250,Hard,2.11,0.6254445791244507,0.1515109298353512,1,11.099999999999998
2023-01-09,WTA,WTA500,Hard,2.37,0.4950883984565735,0.07314747018653134,1,13.700000000000001
2023-01-10,WTA,WTA500,Hard,3.32,0.4282337248325348,0.12702890555542634,0,-10.0
2023-01-10,WTA,WTA500,Hard,1.94,0.5904666543006897,0.07500273677491642,0,-10.0
2023-01-11,WTA,WTA500,Hard,3.1,0.41470586061477666,0.09212521545348634,0,-10.0
2023-01-11,WTA,WTA500,Hard,2.56,0.4705076217651367,0.07988262176513672,0,-10.0
2023-01-11,WTA,WTA500,Hard,1.34,0.7973744869232178,0.05110583020679993,1,3.400000000000001
2023-01-12,WTA,WTA500,Hard,1.81,0.6206651568412781,0.0681789689959742,1,8.100000000000001
2023-01-12,WTA,WTA500,Hard,2.17,0.5697242438793182,0.10889475079176059,0,-10.0
2023-01-14,WTA,WTA500,Hard,2.48,0.5196288824081421,0.11640307595652916,0,-10.0
2023-01-09,WTA,WTA250,Hard,3.0,0.4888395488262176,0.1555062154928843,0,-10.0
2023-01-10,WTA,WTA250,Hard,2.02,0.5571431875228882,0.062093682572393116,1,10.2
2023-01-10,WTA,WTA250,Hard,2.4,0.5500529766082763,0.13338630994160966,0,-10.0
2023-01-10,WTA,WTA250,Hard,1.95,0.6261979699134826,0.11337745709296976,1,9.5
