date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2023-01-01,ATP,ATP250,Hard,1st Round,pB,1.89,0.5720473170280457,0.5291005291005292,0.042946787927516494,0,-10.0
2023-01-01,ATP,ATP250,Hard,1st Round,pA,3.12,0.5062138199806213,0.3205128205128205,0.18570099946780083,0,-10.0
2023-01-02,ATP,ATP250,Hard,1st Round,pA,2.36,0.5003822863101959,0.42372881355932207,0.07665347275087381,0,-10.0
2023-01-03,ATP,ATP250,Hard,1st Round,pA,4.84,0.24994289577007295,0.2066115702479339,0.04333132552213906,0,-10.0
2023-01-03,ATP,ATP250,Hard,1st Round,pB,2.71,0.4996177136898041,0.36900369003690037,0.13061402365290375,1,17.1
2023-01-03,ATP,ATP250,Hard,1st Round,pB,1.58,0.749984648823738,0.6329113924050632,0.11707325641867483,1,5.800000000000001
2023-01-04,ATP,ATP250,Hard,2nd Round,pA,2.25,0.5689122080802917,0.4444444444444444,0.12446776363584733,1,12.5
2023-01-04,ATP,ATP250,Hard,2nd Round,pB,1.64,0.6809428751468658,0.6097560975609756,0.0711867775858902,1,6.399999999999999
2023-01-04,ATP,ATP250,Hard,2nd Round,pA,2.09,0.5900380492210389,0.47846889952153115,0.11156914969950771,0,-10.0
2023-01-05,ATP,ATP250,Hard,2nd Round,pB,2.73,0.48275072574615474,0.3663003663003663,0.11645035944578846,0,-10.0
2023-01-06,ATP,ATP250,Hard,Quarterfinals,pA,1.68,0.7473528504371643,0.5952380952380952,0.15211475519906903,1,6.799999999999999
2023-01-06,ATP,ATP250,Hard,Quarterfinals,pA,2.44,0.4679280936717987,0.4098360655737705,0.058092028098028214,1,14.399999999999999
2023-01-06,ATP,ATP250,Hard,Quarterfinals,pB,3.97,0.4359733939170838,0.2518891687657431,0.1840842251513407,0,-10.0
2023-01-07,ATP,ATP250,Hard,Semifinals,pB,3.25,0.46891615390777586,0.3076923076923077,0.16122384621546815,0,-10.0
