date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2024-01-01,ATP,ATP250,Hard,1st Round,pA,1.33,0.8197169780731202,0.7518796992481203,0.0678372788249999,1,3.3000000000000007
2024-01-02,ATP,ATP250,Hard,1st Round,pB,4.16,0.28430637121200564,0.24038461538461536,0.043921755827390274,1,31.6
2024-01-02,ATP,ATP250,Hard,1st Round,pA,3.02,0.40291377902030945,0.33112582781456956,0.07178795120573989,0,-10.0
2024-01-02,ATP,ATP250,Hard,1st Round,pB,2.33,0.6891995728015899,0.4291845493562232,0.26001502344536676,0,-10.0
2024-01-02,ATP,ATP250,Hard,1st Round,pB,2.57,0.489329069852829,0.38910505836575876,0.10022401148707022,1,15.7
2024-01-03,ATP,ATP250,Hard,2nd Round,pB,3.53,0.3226176142692566,0.28328611898017,0.03933149528908664,0,-10.0
2024-01-05,ATP,ATP250,Hard,Quarterfinals,pA,2.96,0.4797257423400879,0.33783783783783783,0.14188790450225008,0,-10.0
2024-01-07,ATP,ATP250,Hard,The Final,pB,1.93,0.6393986582756043,0.5181347150259068,0.12126394324969747,1,9.299999999999999
2024-01-01,ATP,ATP250,Hard,1st Round,pB,1.7,0.6810249626636505,0.5882352941176471,0.09278966854600346,0,-10.0
2024-01-01,ATP,ATP250,Hard,1st Round,pB,1.97,0.5924620985984802,0.5076142131979695,0.08484788540051069,1,9.7
2024-01-01,ATP,ATP250,Hard,1st Round,pA,3.48,0.3408915281295776,0.28735632183908044,0.053535206290497184,0,-10.0
2024-01-02,ATP,ATP250,Hard,1st Round,pB,2.41,0.6094201862812042,0.41493775933609955,0.19448242694510465,0,-10.0
2024-01-02,ATP,ATP250,Hard,1st Round,pA,3.03,0.4209064543247223,0.33003300330033003,0.09087345102439226,0,-10.0
2024-01-02,ATP,ATP250,Hard,1st Round,pB,2.66,0.46114832162857056,0.37593984962406013,0.08520847200451043,1,16.6
2024-01-02,ATP,ATP250,Hard,1st Round,pB,1.56,0.7617564588785172,0.641025641025641,0.1207308178528762,1,5.6000000000000005
2024-01-02,ATP,ATP250,Hard,1st Round,pA,2.51,0.5240920543670654,0.39840637450199207,0.12568567986507334,0,-10.0
2024-01-02,ATP,ATP250,Hard,1st Round,pB,2.42,0.47073643207550053,0.4132231404958678,0.05751329157963275,0,-10.0
2024-01-03,ATP,ATP250,Hard,2nd Round,pB,1.57,0.6751589417457581,0.6369426751592356,0.03821626658652244,0,-10.0
2024-01-03,ATP,ATP250,Hard,2nd Round,pB,1.79,0.6249041736125946,0.5586592178770949,0.06624495573549971,1,7.9
2024-01-03,ATP,ATP250,Hard,2nd Round,pA,1.62,0.6521982431411744,0.6172839506172839,0.034914292523890444,0,-10.0
2024-01-03,ATP,ATP250,Hard,2nd Round,pA,2.17,0.5022446930408477,0.4608294930875576,0.04141519995329013,1,11.7
2024-01-04,ATP,ATP250,Hard,2nd Round,pB,2.85,0.6328005969524384,0.3508771929824561,0.2819234039699823,0,-10.0
2024-01-05,ATP,ATP250,Hard,Quarterfinals,pB,2.29,0.5036745250225068,0.4366812227074236,0.06699330231508316,0,-10.0
2024-01-05,ATP,ATP250,Hard,Quarterfinals,pA,2.83,0.5292635679244995,0.35335689045936397,0.1759066774651355,1,18.3
2024-01-06,ATP,ATP250,Hard,Semifinals,pB,2.28,0.5138663530349732,0.4385964912280702,0.07526986180690298,0,-10.0
2024-01-06,ATP,ATP250,Hard,Semifinals,pB,1.15,0.9031454108655452,0.8695652173913044,0.033580193474240794,1,1.4999999999999991
2024-01-08,ATP,ATP250,Hard,1st Round,pA,4.46,0.31786333918571474,0.2242152466367713,0.09364809254894343,0,-10.0
2024-01-08,ATP,ATP250,Hard,1st Round,pA,2.15,0.4963254749774933,0.46511627906976744,0.031209195907725862,0,-10.0
2024-01-08,ATP,ATP250,Hard,1st Round,pB,2.43,0.6094201862812042,0.4115226337448559,0.19789755253634828,0,-10.0
2024-01-08,ATP,ATP250,Hard,1st Round,pB,2.59,0.526820719242096,0.3861003861003861,0.14072033314170984,1,15.899999999999999
2024-01-09,ATP,ATP250,Hard,1st Round,pA,2.06,0.5456324934959411,0.4854368932038835,0.060195600292057616,1,10.600000000000001
2024-01-09,ATP,ATP250,Hard,1st Round,pB,1.96,0.7326814442873001,0.5102040816326531,0.22247736265464702,0,-10.0
2024-01-09,ATP,ATP250,Hard,1st Round,pA,4.25,0.39879663586616515,0.23529411764705882,0.16350251821910633,0,-10.0
2024-01-09,ATP,ATP250,Hard,1st Round,pB,2.41,0.4795060813426971,0.41493775933609955,0.06456832200659757,0,-10.0
2024-01-10,ATP,ATP250,Hard,2nd Round,pA,1.26,0.8749944806098938,0.7936507936507936,0.08134368695910021,1,2.6
2024-01-10,ATP,ATP250,Hard,2nd Round,pB,2.73,0.4566425919532776,0.3663003663003663,0.09034222565291133,0,-10.0
2024-01-11,ATP,ATP250,Hard,Quarterfinals,pA,2.92,0.3865779757499695,0.3424657534246575,0.04411222232531198,0,-10.0
