date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-01-03,ATP,ATP250,Hard,1st Round,pA,2.38,0.5217066287994385,0.42016806722689076,0.10153856157254776,1,13.799999999999999
2022-01-03,ATP,ATP250,Hard,1st Round,pB,2.1,0.5666132628917694,0.47619047619047616,0.09042278670129322,1,11.0
2022-01-04,ATP,ATP250,Hard,1st Round,pB,2.64,0.45147283077239986,0.3787878787878788,0.07268495198452107,1,16.400000000000002
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.89,0.48389115929603577,0.3460207612456747,0.13787039805036105,1,18.900000000000002
2022-01-04,ATP,ATP250,Hard,1st Round,pA,1.9,0.5763360261917114,0.5263157894736842,0.050020236718027244,1,9.0
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.03,0.6185802698135376,0.4926108374384237,0.12596943237511393,0,-10.0
2022-01-05,ATP,ATP250,Hard,2nd Round,pA,1.3,0.8132880210876465,0.7692307692307692,0.044057251856877366,1,3.0000000000000004
2022-01-05,ATP,ATP250,Hard,2nd Round,pA,2.31,0.5287562251091004,0.4329004329004329,0.09585579220866747,1,13.100000000000001
2022-01-05,ATP,ATP250,Hard,2nd Round,pB,1.63,0.7268239796161652,0.6134969325153374,0.11332704710082775,0,-10.0
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,2.18,0.538278591632843,0.4587155963302752,0.07956299530256777,0,-10.0
2022-01-06,ATP,ATP250,Hard,2nd Round,pA,4.68,0.2653184920549393,0.2136752136752137,0.0516432783797256,0,-10.0
2022-01-07,ATP,ATP250,Hard,Quarterfinals,pB,3.81,0.3504384636878968,0.26246719160104987,0.08797127208684691,0,-10.0
2022-01-07,ATP,ATP250,Hard,Quarterfinals,pB,2.26,0.5703004896640778,0.4424778761061947,0.12782261355788305,0,-10.0
2022-01-09,ATP,ATP250,Hard,The Final,pB,2.34,0.5007364630699158,0.4273504273504274,0.07338603571948843,0,-10.0
