date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-01-03,ATP,ATP250,Hard,1st Round,pB,1.64,0.9464464865624904,0.6097560975609756,0.3366903890015148,1,6.399999999999999
2022-01-03,ATP,ATP250,Hard,1st Round,pA,2.38,0.9322369933128357,0.42016806722689076,0.512068926085945,1,13.799999999999999
2022-01-03,ATP,ATP250,Hard,1st Round,pB,2.1,0.9938936910359188,0.47619047619047616,0.5177032148454427,1,11.0
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.09,0.8437824964523315,0.47846889952153115,0.36531359693080034,1,10.899999999999999
2022-01-04,ATP,ATP250,Hard,1st Round,pB,2.62,0.8756599202752113,0.38167938931297707,0.49398053096223427,1,16.200000000000003
2022-01-04,ATP,ATP250,Hard,1st Round,pB,2.04,0.937649755179882,0.49019607843137253,0.4474536767485095,1,10.4
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.89,0.9817341566085815,0.3460207612456747,0.6357133953629068,1,18.900000000000002
2022-01-04,ATP,ATP250,Hard,1st Round,pB,1.32,0.9677499774843454,0.7575757575757576,0.21017421990858787,1,3.2000000000000006
2022-01-04,ATP,ATP250,Hard,1st Round,pA,1.9,0.6373811483383178,0.5263157894736842,0.11106535886463365,1,9.0
2022-01-04,ATP,ATP250,Hard,1st Round,pB,1.77,0.8324564173817635,0.5649717514124294,0.26748466596933407,1,7.7
2022-01-05,ATP,ATP250,Hard,2nd Round,pB,2.28,0.47206587791442867,0.4385964912280702,0.03346938668635846,1,12.799999999999997
2022-01-05,ATP,ATP250,Hard,2nd Round,pA,1.3,0.8339236736297607,0.7692307692307692,0.06469290439899156,1,3.0000000000000004
2022-01-05,ATP,ATP250,Hard,2nd Round,pA,2.31,0.484520423412323,0.4329004329004329,0.05161999051189009,1,13.100000000000001
2022-01-05,ATP,ATP250,Hard,2nd Round,pB,1.63,0.747620165348053,0.6134969325153374,0.13412323283271554,0,-10.0
2022-01-06,ATP,ATP250,Hard,2nd Round,pA,1.67,0.9412266254425049,0.5988023952095809,0.342424230232924,1,6.699999999999999
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,1.24,0.9958994563436135,0.8064516129032259,0.18944784344038768,1,2.4
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,1.18,0.9922184746479615,0.8474576271186441,0.1447608475293174,1,1.7999999999999994
2022-01-07,ATP,ATP250,Hard,Quarterfinals,pB,2.26,0.6356045603752136,0.4424778761061947,0.1931266842690189,0,-10.0
2022-01-08,ATP,ATP250,Hard,Semifinals,pA,1.37,0.8007526755332947,0.7299270072992701,0.07082566823402459,1,3.700000000000001
2022-01-09,ATP,ATP250,Hard,The Final,pA,1.6,0.9185518383979797,0.625,0.2935518383979797,1,6.000000000000001
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.67,0.45940267443656924,0.37453183520599254,0.0848708392305767,0,-10.0
2022-01-04,ATP,ATP250,Hard,1st Round,pA,3.05,0.4734247028827667,0.3278688524590164,0.1455558504237503,0,-10.0
2022-01-04,ATP,ATP250,Hard,1st Round,pB,2.46,0.4579925239086151,0.4065040650406504,0.051488458867964715,0,-10.0
2022-01-05,ATP,ATP250,Hard,1st Round,pA,2.27,0.7885665178298951,0.44052863436123346,0.3480378834686616,1,12.7
