date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2023-01-01,WTA,WTA500,Hard,1st Round,pB,2.55,0.45302432775497437,0.3921568627450981,0.060867465009876276,0,-10.0
2023-01-02,WTA,WTA500,Hard,1st Round,pA,1.37,0.7848650932312011,0.7299270072992701,0.05493808593193106,0,-10.0
2023-01-02,WTA,WTA500,Hard,1st Round,pB,2.66,0.5022668719291687,0.37593984962406013,0.12632702230510862,1,16.6
2023-01-02,WTA,WTA500,Hard,1st Round,pA,1.65,0.9643017411231994,0.6060606060606061,0.35824113506259336,1,6.499999999999999
2023-01-03,WTA,WTA500,Hard,1st Round,pA,2.24,0.5099663734436035,0.4464285714285714,0.06353780201503212,0,-10.0
2023-01-03,WTA,WTA500,Hard,1st Round,pA,2.01,0.6512600183486938,0.49751243781094534,0.1537475805377485,0,-10.0
2023-01-03,WTA,WTA500,Hard,1st Round,pB,1.25,0.9936594877392053,0.8,0.19365948773920527,1,2.5
2023-01-03,WTA,WTA500,Hard,1st Round,pB,2.24,0.9963397384621203,0.4464285714285714,0.5499111670335489,1,12.400000000000002
2023-01-04,WTA,WTA500,Hard,2nd Round,pA,2.54,0.5166999340057373,0.39370078740157477,0.12299914660416256,0,-10.0
2023-01-04,WTA,WTA500,Hard,2nd Round,pB,1.71,0.8486051365733147,0.5847953216374269,0.26380981493588784,0,-10.0
2023-01-05,WTA,WTA500,Hard,2nd Round,pA,1.68,0.9558395504951477,0.5952380952380952,0.36060145525705245,1,6.799999999999999
2023-01-05,WTA,WTA500,Hard,2nd Round,pA,2.8,0.4182772278785706,0.35714285714285715,0.06113437073571343,1,18.0
2023-01-05,WTA,WTA500,Hard,2nd Round,pA,2.16,0.5176698207855225,0.4629629629629629,0.054706857822559574,1,11.600000000000001
2023-01-05,WTA,WTA500,Hard,2nd Round,pA,1.27,0.8393185496330261,0.7874015748031495,0.05191697482987656,1,2.7
2023-01-06,WTA,WTA500,Hard,Quarterfinals,pA,1.78,0.6482417106628418,0.5617977528089888,0.08644395785385295,1,7.800000000000001
2023-01-08,WTA,WTA500,Hard,The Final,pA,1.35,0.797152316570282,0.7407407407407407,0.05641157582954126,1,3.500000000000001
2023-01-02,WTA,WTA250,Hard,1st Round,pB,2.33,0.9918970733880996,0.4291845493562232,0.5627125240318764,1,13.3
2023-01-02,WTA,WTA250,Hard,1st Round,pB,2.83,0.4754713356494904,0.35335689045936397,0.12211444519012643,0,-10.0
2023-01-02,WTA,WTA250,Hard,1st Round,pA,2.61,0.5144714057445526,0.3831417624521073,0.13132964329244534,1,16.099999999999998
2023-01-02,WTA,WTA250,Hard,1st Round,pB,3.03,0.41711815595626833,0.33003300330033003,0.0870851526559383,1,20.299999999999997
2023-01-02,WTA,WTA250,Hard,1st Round,pB,1.37,0.7907504796981811,0.7299270072992701,0.06082347239891106,0,-10.0
2023-01-03,WTA,WTA250,Hard,1st Round,pA,2.59,0.5029229164123535,0.3861003861003861,0.11682253031196743,0,-10.0
2023-01-04,WTA,WTA250,Hard,1st Round,pA,2.21,0.5162426173686981,0.45248868778280543,0.06375392958589271,0,-10.0
2023-01-04,WTA,WTA250,Hard,1st Round,pB,1.98,0.5904740750789642,0.5050505050505051,0.08542357002845913,0,-10.0
2023-01-04,WTA,WTA250,Hard,1st Round,pA,2.63,0.5825243949890136,0.3802281368821293,0.20229625810688434,0,-10.0
2023-01-04,WTA,WTA250,Hard,1st Round,pA,2.51,0.9796162128448487,0.39840637450199207,0.5812098383428566,1,15.099999999999998
2023-01-04,WTA,WTA250,Hard,1st Round,pB,2.71,0.9741459893994033,0.36900369003690037,0.605142299362503,1,17.1
2023-01-04,WTA,WTA250,Hard,2nd Round,pA,2.78,0.4933750808238983,0.3597122302158274,0.13366285060807093,0,-10.0
2023-01-05,WTA,WTA250,Hard,2nd Round,pA,2.73,0.7112303853034974,0.3663003663003663,0.3449300190031311,1,17.3
2023-01-05,WTA,WTA250,Hard,2nd Round,pA,2.19,0.7426908850669861,0.4566210045662101,0.28606988050077603,1,11.899999999999999
2023-01-05,WTA,WTA250,Hard,2nd Round,pB,1.2,0.9134802520275116,0.8333333333333334,0.08014691869417823,1,1.9999999999999996
2023-01-05,WTA,WTA250,Hard,2nd Round,pB,3.26,0.431485116481781,0.3067484662576687,0.12473665022411229,0,-10.0
2023-01-05,WTA,WTA250,Hard,2nd Round,pA,2.81,0.43284576535224917,0.35587188612099646,0.0769738792312527,1,18.1
2023-01-06,WTA,WTA250,Hard,Quarterfinals,pB,2.11,0.6492195129394531,0.47393364928909953,0.1752858636503536,1,11.099999999999998
2023-01-06,WTA,WTA250,Hard,Quarterfinals,pA,2.89,0.5996795773506165,0.3460207612456747,0.2536588161049418,1,18.900000000000002
2023-01-07,WTA,WTA250,Hard,Semifinals,pA,1.8,0.9908424377441406,0.5555555555555556,0.435286882188585,1,8.0
2023-01-09,WTA,WTA500,Hard,1st Round,pB,2.37,0.9363695800304412,0.42194092827004215,0.5144286517603991,1,13.700000000000001
2023-01-09,WTA,WTA500,Hard,1st Round,pA,1.55,0.9841766953468323,0.6451612903225806,0.33901540502425165,1,5.5
2023-01-09,WTA,WTA500,Hard,1st Round,pA,1.89,0.9827479362487793,0.5291005291005292,0.45364740714825014,1,8.899999999999999
2023-01-09,WTA,WTA500,Hard,1st Round,pA,1.34,0.9889326214790344,0.7462686567164178,0.24266396476261654,1,3.400000000000001
2023-01-10,WTA,WTA500,Hard,1st Round,pA,1.58,0.9888886451721192,0.6329113924050632,0.35597725276705594,1,5.800000000000001
2023-01-10,WTA,WTA500,Hard,1st Round,pA,2.93,0.8966134428977967,0.341296928327645,0.5553165145701516,1,19.3
2023-01-10,WTA,WTA500,Hard,1st Round,pA,3.32,0.41190752387046814,0.30120481927710846,0.11070270459335968,0,-10.0
2023-01-10,WTA,WTA500,Hard,1st Round,pB,1.85,0.89715346544981,0.5405405405405405,0.35661292490926955,1,8.5
2023-01-10,WTA,WTA500,Hard,1st Round,pA,1.89,0.9761792182922363,0.5291005291005292,0.4470786891917071,1,8.899999999999999
2023-01-10,WTA,WTA500,Hard,1st Round,pB,1.6,0.9766629959456623,0.625,0.3516629959456623,1,6.000000000000001
2023-01-10,WTA,WTA500,Hard,1st Round,pB,2.14,0.9741459893994033,0.4672897196261682,0.5068562697732351,1,11.400000000000002
2023-01-11,WTA,WTA500,Hard,2nd Round,pA,1.37,0.9761792182922363,0.7299270072992701,0.24625221099296624,1,3.700000000000001
2023-01-11,WTA,WTA500,Hard,2nd Round,pA,1.62,0.9586359024047851,0.6172839506172839,0.3413519517875012,1,6.200000000000001
2023-01-11,WTA,WTA500,Hard,2nd Round,pA,1.36,0.9865784525871277,0.7352941176470588,0.25128433494006897,1,3.600000000000001
2023-01-11,WTA,WTA500,Hard,2nd Round,pA,2.12,0.735286283493042,0.4716981132075471,0.2635881702854949,1,11.200000000000001
2023-01-11,WTA,WTA500,Hard,2nd Round,pA,1.5,0.9745501637458801,0.6666666666666666,0.3078834970792135,1,5.0
2023-01-11,WTA,WTA500,Hard,2nd Round,pA,1.34,0.9964084982872009,0.7462686567164178,0.25013984157078306,1,3.400000000000001
2023-01-12,WTA,WTA500,Hard,Quarterfinals,pB,2.11,0.9351649872958661,0.47393364928909953,0.4612313380067665,1,11.099999999999998
