date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-01-03,ATP,ATP250,Hard,1st Round,pB,1.64,0.7048006215314953,0.6097560975609756,0.09504452397051966,1,6.399999999999999
2022-01-03,ATP,ATP250,Hard,1st Round,pA,2.38,0.7321951146905962,0.42016806722689076,0.3120270474637054,1,13.799999999999999
2022-01-03,ATP,ATP250,Hard,1st Round,pB,2.1,0.8671795791652985,0.47619047619047616,0.39098910297482237,1,11.0
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.09,0.6312229444849582,0.47846889952153115,0.15275404496342704,1,10.899999999999999
2022-01-04,ATP,ATP250,Hard,1st Round,pB,2.62,0.6363147806038623,0.38167938931297707,0.2546353912908852,1,16.200000000000003
2022-01-04,ATP,ATP250,Hard,1st Round,pB,2.04,0.5410026602158259,0.49019607843137253,0.05080658178445335,1,10.4
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.89,0.7569980124192058,0.3460207612456747,0.4109772511735311,1,18.900000000000002
2022-01-04,ATP,ATP250,Hard,1st Round,pA,1.9,0.590768531339279,0.5263157894736842,0.0644527418655948,1,9.0
2022-01-05,ATP,ATP250,Hard,2nd Round,pB,2.28,0.7520071399804319,0.4385964912280702,0.3134106487523617,1,12.799999999999997
2022-01-05,ATP,ATP250,Hard,2nd Round,pA,1.3,0.8484083794929573,0.7692307692307692,0.07917761026218817,1,3.0000000000000004
2022-01-05,ATP,ATP250,Hard,2nd Round,pA,2.31,0.7090417934187407,0.4329004329004329,0.27614136051830784,1,13.100000000000001
2022-01-05,ATP,ATP250,Hard,2nd Round,pB,1.63,0.776949356843601,0.6134969325153374,0.16345242432826357,0,-10.0
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,3.5,0.3988428353736797,0.2857142857142857,0.113128549659394,0,-10.0
2022-01-06,ATP,ATP250,Hard,2nd Round,pA,1.67,0.7698000611106265,0.5988023952095809,0.1709976659010456,1,6.699999999999999
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,1.24,0.8869182184417425,0.8064516129032259,0.08046660553851659,1,2.4
2022-01-07,ATP,ATP250,Hard,Quarterfinals,pB,2.26,0.6371197657374288,0.4424778761061947,0.19464188963123408,0,-10.0
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.67,0.47465373108844544,0.37453183520599254,0.1001218958824529,0,-10.0
2022-01-04,ATP,ATP250,Hard,1st Round,pA,3.05,0.462037935421885,0.3278688524590164,0.13416908296286856,0,-10.0
2022-01-04,ATP,ATP250,Hard,1st Round,pB,2.46,0.7413297459661812,0.4065040650406504,0.3348256809255308,0,-10.0
2022-01-05,ATP,ATP250,Hard,1st Round,pA,2.27,0.5838563022112363,0.44052863436123346,0.14332766785000284,1,12.7
2022-01-05,ATP,ATP250,Hard,1st Round,pB,1.92,0.5813646612843792,0.5208333333333334,0.06053132795104588,1,9.2
2022-01-05,ATP,ATP250,Hard,1st Round,pB,2.62,0.6285411746944594,0.38167938931297707,0.2468617853814823,0,-10.0
2022-01-05,ATP,ATP250,Hard,1st Round,pB,2.19,0.7534263194590042,0.4566210045662101,0.2968053148927941,0,-10.0
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,1.43,0.7505342273922715,0.6993006993006994,0.05123352809157211,1,4.299999999999999
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,1.71,0.7802969671710114,0.5847953216374269,0.1955016455335845,0,-10.0
2022-01-06,ATP,ATP250,Hard,2nd Round,pA,1.96,0.6236482284604252,0.5102040816326531,0.11344414682777215,0,-10.0
2022-01-07,ATP,ATP250,Hard,Quarterfinals,pB,1.66,0.7371546083651498,0.6024096385542169,0.13474496981093287,1,6.6
2022-01-07,ATP,ATP250,Hard,Quarterfinals,pA,1.73,0.7757096664544381,0.5780346820809249,0.19767498437351316,1,7.3
2022-01-08,ATP,ATP250,Hard,Semifinals,pA,3.2,0.5259729288186301,0.3125,0.21347292881863011,1,22.0
2022-01-10,ATP,ATP250,Hard,1st Round,pA,2.02,0.6027977771380815,0.49504950495049505,0.10774827218758642,1,10.2
2022-01-10,ATP,ATP250,Hard,1st Round,pB,2.07,0.7672247633012615,0.48309178743961356,0.284132975861648,1,10.7
2022-01-10,ATP,ATP250,Hard,1st Round,pA,2.37,0.7249770423479088,0.42194092827004215,0.3030361140778667,1,13.700000000000001
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.33,0.7520071399804319,0.4291845493562232,0.3228225906242087,1,13.3
2022-01-11,ATP,ATP250,Hard,1st Round,pB,1.33,0.8036137080953826,0.7518796992481203,0.051734008847262314,1,3.3000000000000007
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.42,0.5017250461578306,0.4132231404958678,0.08850190566196287,0,-10.0
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.17,0.5472140518853126,0.4608294930875576,0.08638455879775497,1,11.7
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.23,0.8327138276189181,0.4484304932735426,0.3842833343453755,1,12.3
2022-01-11,ATP,ATP250,Hard,1st Round,pA,1.88,0.7014975691919301,0.5319148936170213,0.1695826755749088,1,8.799999999999999
2022-01-11,ATP,ATP250,Hard,2nd Round,pA,1.84,0.820519430290582,0.5434782608695652,0.27704116942101686,1,8.4
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,1.35,0.8498260370338329,0.7407407407407407,0.10908529629309216,1,3.500000000000001
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,1.87,0.83292371711827,0.53475935828877,0.2981643588295,1,8.700000000000001
2022-01-12,ATP,ATP250,Hard,2nd Round,pA,2.09,0.7988271303263361,0.47846889952153115,0.32035823080480497,0,-10.0
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,2.18,0.6750339542551742,0.4587155963302752,0.216318357924899,1,11.8
