match,market,sel,odds,mp,ip,edge,W,pnl,league,tier
Charleroi vs Antwerp,1X2,Home,3.11,0.5490480116062801,0.3215434083601286,0.22750460324615152,False,-10.0,Jupiler Pro League,1
Westerlo vs Cercle Brugge,1X2,Home,2.89,0.4862452880112066,0.3460207612456747,0.14022452676553188,True,18.900000000000002,Jupiler Pro League,1
Oud-Heverlee Leuven vs Genk,O/U,Under,2.21,0.5486916234593033,0.45248868778280543,0.0962029356764979,False,-10.0,Jupiler Pro League,1
Oud-Heverlee Leuven vs Genk,1X2,Home,3.32,0.49696170415513785,0.30120481927710846,0.1957568848780294,True,23.2,Jupiler Pro League,1
Karlsruhe vs Nurnberg,1X2,Home,1.95,0.6293696342324382,0.5128205128205129,0.1165491214119253,True,9.5,2. Bundesliga,2
Darmstadt vs Fortuna Dusseldorf,1X2,Away,2.4,0.6042176202788905,0.4166666666666667,0.1875509536122238,True,14.0,2. Bundesliga,2
Chesterfield vs Swindon,O/U,Under,2.37,0.5031983845060854,0.42194092827004215,0.0812574562360433,True,13.700000000000001,League Two,4
Groningen vs NAC Breda,O/U,Under,2.27,0.529818134227981,0.44052863436123346,0.0892894998667475,False,-10.0,Eredivisie,1
Blackburn vs Derby,1X2,Away,3.17,0.44131614256538776,0.31545741324921134,0.12585872931617642,False,-10.0,Championship,2
Preston vs Sheffield United,1X2,Home,3.16,0.4503066268019995,0.3164556962025316,0.1338509305994679,False,-10.0,Championship,2
Barnsley vs Mansfield,1X2,Away,3.38,0.378635022202398,0.2958579881656805,0.08277703403671749,True,23.799999999999997,League One,3
Kaiserslautern vs Greuther Furth,O/U,Under,2.38,0.4859992664433941,0.42016806722689076,0.06583119921650332,False,-10.0,2. Bundesliga,2
Fleetwood Town vs Grimsby,1X2,Away,3.73,0.33021335760925813,0.2680965147453083,0.062116842863949806,False,-10.0,League Two,4
Stoke vs Coventry,1X2,Home,2.47,0.626456363876662,0.4048582995951417,0.22159806428152035,True,14.700000000000003,Championship,2
Salford vs Port Vale,1X2,Home,2.25,0.5070368765981743,0.4444444444444444,0.0625924321537299,False,-10.0,League Two,4
Exeter vs Rotherham,1X2,Home,3.01,0.6225602836283131,0.33222591362126247,0.2903343700070506,True,20.099999999999998,League One,3
Peterboro vs Huddersfield,1X2,Home,2.12,0.5410925637381834,0.4716981132075471,0.06939445053063625,False,-10.0,League One,3
Stockport vs Cambridge,1X2,Home,1.65,0.7251887843165631,0.6060606060606061,0.119128178255957,True,6.499999999999999,League One,3
Bristol Rvs vs Northampton,1X2,Away,3.85,0.3592585642318522,0.2597402597402597,0.09951830449159249,False,-10.0,League One,3
Wrexham vs Wycombe,1X2,Home,2.01,0.5929176109550616,0.49751243781094534,0.09540517314411623,True,10.099999999999998,League One,3
Oxford vs Norwich,1X2,Home,3.04,0.5178305182048009,0.32894736842105265,0.1888831497837482,True,20.4,Championship,2
