match,market,selection,odds,model_prob,implied_prob,edge,result,pnl,league,tier,date
Magdeburg vs Fortuna Dusseldorf,O/U,Under 2.5,2.03,0.5557295350429061,0.4926108374384237,0.06311869760448241,L,-10.0,2. Bundesliga,2,2022-07-16
St Pauli vs Nurnberg,O/U,Under 2.5,2.22,0.5006587145652551,0.4504504504504504,0.050208264114804724,L,-10.0,2. Bundesliga,2,2022-07-16
Sandhausen vs Bielefeld,1X2,Home,3.15,0.5453591075384341,0.31746031746031744,0.22789879007811664,W,21.5,2. Bundesliga,2,2022-07-16
Regensburg vs Darmstadt,O/U,Under 2.5,2.31,0.5171605696658699,0.4329004329004329,0.08426013676543698,W,13.100000000000001,2. Bundesliga,2,2022-07-16
Paderborn vs Karlsruhe,O/U,Under 2.5,2.38,0.49057297574235104,0.42016806722689076,0.07040490851546027,L,-10.0,2. Bundesliga,2,2022-07-17
Braunschweig vs Hamburg,O/U,Under 2.5,2.2,0.5154709791291247,0.45454545454545453,0.06092552458367012,W,12.000000000000002,2. Bundesliga,2,2022-07-17
Fortuna Dusseldorf vs Paderborn,O/U,Under 2.5,2.23,0.5198053965649578,0.4484304932735426,0.07137490329141521,L,-10.0,2. Bundesliga,2,2022-07-22
Waregem vs Seraing,O/U,Under 2.5,2.05,0.5444640759046108,0.48780487804878053,0.056659197855830234,W,10.499999999999998,Jupiler Pro League,1,2022-07-23
Hannover vs St Pauli,O/U,Under 2.5,2.26,0.5297569134658139,0.4424778761061947,0.08727903735961917,L,-10.0,2. Bundesliga,2,2022-07-23
Nurnberg vs Greuther Furth,1X2,Home,2.35,0.5078539042238446,0.425531914893617,0.08232198933022755,W,13.5,2. Bundesliga,2,2022-07-23
Kortrijk vs Oud-Heverlee Leuven,O/U,Under 2.5,2.22,0.5008746417084535,0.4504504504504504,0.050424191258003126,W,12.200000000000003,Jupiler Pro League,1,2022-07-23
Club Brugge vs Genk,1X2,Home,1.74,0.6779443682119166,0.5747126436781609,0.10323172453375573,W,7.4,Jupiler Pro League,1,2022-07-24
Karlsruhe vs Magdeburg,1X2,Home,2.8,0.4712137196506129,0.35714285714285715,0.11407086250775578,L,-10.0,2. Bundesliga,2,2022-07-24
Bielefeld vs Regensburg,O/U,Under 2.5,2.1,0.5676259391006506,0.47619047619047616,0.09143546291017446,L,-10.0,2. Bundesliga,2,2022-07-24
Huddersfield vs Burnley,1X2,Home,2.95,0.4831750756025591,0.3389830508474576,0.1441920247551015,L,-10.0,Championship,2,2022-07-29
Bristol Rvs vs Forest Green,1X2,Home,2.32,0.580388997627006,0.4310344827586207,0.1493545148683853,L,-10.0,League One,3,2022-07-30
Kilmarnock vs Dundee United,O/U,Over 2.5,2.25,0.5105473039797614,0.4444444444444444,0.06610285953531703,L,-10.0,Premiership,1,2022-07-30
Cheltenham vs Peterboro,1X2,Home,2.92,0.44516286966317187,0.3424657534246575,0.10269711623851435,L,-10.0,League One,3,2022-07-30
Dijon vs St Etienne,1X2,Home,2.93,0.4972582025300253,0.341296928327645,0.15596127420238026,W,19.3,Ligue 2,2,2022-07-30
Oostende vs Mechelen,O/U,Under 2.5,2.15,0.5202505509991704,0.46511627906976744,0.055134271929402956,L,-10.0,Jupiler Pro League,1,2022-07-30
Cercle Brugge vs Anderlecht,1X2,Away,1.99,0.5886547012351879,0.5025125628140703,0.08614213842111762,L,-10.0,Jupiler Pro League,1,2022-07-30
Wigan vs Preston,1X2,Home,2.47,0.5187140113502364,0.4048582995951417,0.11385571175509474,L,-10.0,Championship,2,2022-07-30
