match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Karlsruhe vs Nurnberg,1X2,Home,1.95,0.6293696342324382,0.5128205128205129,0.1165491214119253,True,9.5,2. Bundesliga,2,2024-08-03
Darmstadt vs Fortuna Dusseldorf,1X2,Away,2.4,0.6042176202788905,0.4166666666666667,0.1875509536122238,True,14.0,2. Bundesliga,2,2024-08-04
Chesterfield vs Swindon,O/U,Under 2.5,2.37,0.5031983845060854,0.42194092827004215,0.0812574562360433,True,13.700000000000001,League Two,4,2024-08-09
Blackburn vs Derby,1X2,Away,3.17,0.44131614256538776,0.31545741324921134,0.12585872931617642,False,-10.0,Championship,2,2024-08-09
Preston vs Sheffield United,1X2,Home,3.16,0.4503066268019995,0.3164556962025316,0.1338509305994679,False,-10.0,Championship,2,2024-08-09
Kaiserslautern vs Greuther Furth,O/U,Under 2.5,2.38,0.4859992664433941,0.42016806722689076,0.06583119921650332,False,-10.0,2. Bundesliga,2,2024-08-09
Leeds vs Portsmouth,O/U,Under 2.5,2.32,0.49099237275697605,0.4310344827586207,0.05995788999835533,False,-10.0,Championship,2,2024-08-10
Stoke vs Coventry,1X2,Home,2.47,0.626456363876662,0.4048582995951417,0.22159806428152035,True,14.700000000000003,Championship,2,2024-08-10
Exeter vs Rotherham,1X2,Home,3.01,0.6225602836283131,0.33222591362126247,0.2903343700070506,True,20.099999999999998,League One,3,2024-08-10
Stockport vs Cambridge,1X2,Home,1.65,0.7251887843165631,0.6060606060606061,0.119128178255957,True,6.499999999999999,League One,3,2024-08-10
Wrexham vs Wycombe,1X2,Home,2.01,0.5929176109550616,0.49751243781094534,0.09540517314411623,True,10.099999999999998,League One,3,2024-08-10
Oxford vs Norwich,1X2,Home,3.04,0.5178305182048009,0.32894736842105265,0.1888831497837482,True,20.4,Championship,2,2024-08-10
Paderborn vs Darmstadt,1X2,Home,1.87,0.6357141659297525,0.53475935828877,0.10095480764098252,True,8.700000000000001,2. Bundesliga,2,2024-08-11
Clermont vs Pau FC,O/U,Over 2.5,2.15,0.5151468384457271,0.46511627906976744,0.05003055937595963,True,11.5,Ligue 2,2,2024-08-16
Clermont vs Pau FC,1X2,Away,3.99,0.4170498574649275,0.2506265664160401,0.16642329104888742,False,-10.0,Ligue 2,2,2024-08-16
Brescia vs Palermo,1X2,Home,2.88,0.49676264881089127,0.3472222222222222,0.14954042658866906,True,18.799999999999997,Serie B,2,2024-08-16
Mirandes vs Cordoba,1X2,Home,2.99,0.4678926815969613,0.33444816053511706,0.13344452106184423,True,19.900000000000002,Segunda Division,2,2024-08-16
Eibar vs Castellon,O/U,Over 2.5,2.05,0.5644944435293073,0.48780487804878053,0.0766895654805268,False,-10.0,Segunda Division,2,2024-08-17
Eibar vs Castellon,1X2,Home,1.77,0.6701038632587288,0.5649717514124294,0.10513211184629945,True,7.7,Segunda Division,2,2024-08-17
La Coruna vs Oviedo,O/U,Over 2.5,2.35,0.4869720179603293,0.425531914893617,0.06144010306671227,False,-10.0,Segunda Division,2,2024-08-17
Plymouth vs Hull,O/U,Under 2.5,2.19,0.5194370752281838,0.4566210045662101,0.06281607066197376,True,11.899999999999999,Championship,2,2024-08-17
Portsmouth vs Luton,1X2,Home,3.0,0.6213394760418824,0.3333333333333333,0.28800614270854913,False,-10.0,Championship,2,2024-08-17
Derby vs Middlesbrough,1X2,Home,3.45,0.43539792208620676,0.2898550724637681,0.14554284962243863,True,24.5,Championship,2,2024-08-17
Swansea vs Preston,1X2,Home,1.97,0.5919902154714308,0.5076142131979695,0.08437600227346131,True,9.7,Championship,2,2024-08-17
Swindon vs Walsall,O/U,Under 2.5,2.26,0.49860184081608194,0.4424778761061947,0.05612396470988723,False,-10.0,League Two,4,2024-08-17
Newport County vs Doncaster,1X2,Away,1.81,0.6230500110811475,0.5524861878453039,0.07056382323584365,False,-10.0,League Two,4,2024-08-17
Crewe vs Chesterfield,O/U,Under 2.5,2.06,0.543844484217116,0.4854368932038835,0.05840759101323245,False,-10.0,League Two,4,2024-08-17
Mansfield vs Burton,1X2,Home,1.81,0.6254890517811975,0.5524861878453039,0.07300286393589361,False,-10.0,League One,3,2024-08-17
Cambridge vs Crawley Town,1X2,Away,3.28,0.44473590977856087,0.3048780487804878,0.13985786099807307,True,22.799999999999997,League One,3,2024-08-17
Santander vs Almeria,O/U,Over 2.5,2.15,0.5434964431969753,0.46511627906976744,0.07838016412720789,True,11.5,Segunda Division,2,2024-08-18
Santander vs Almeria,1X2,Home,2.63,0.5216148975126901,0.3802281368821293,0.14138676063056077,False,-10.0,Segunda Division,2,2024-08-18
Catanzaro vs Sassuolo,1X2,Home,3.46,0.45743693540977926,0.28901734104046245,0.1684195943693168,False,-10.0,Serie B,2,2024-08-18
Rodez vs Metz,1X2,Home,2.75,0.5460328284687566,0.36363636363636365,0.1823964648323929,False,-10.0,Ligue 2,2,2024-08-23
Troyes vs Clermont,1X2,Home,3.4,0.4636038769652417,0.29411764705882354,0.16948622990641815,False,-10.0,Ligue 2,2,2024-08-23
Stockport vs Bristol Rvs,1X2,Home,1.72,0.7053108247906261,0.5813953488372093,0.12391547595341679,True,7.199999999999999,League One,3,2024-08-24
Exeter vs Peterboro,1X2,Home,3.17,0.4195319895773155,0.31545741324921134,0.10407457632810418,False,-10.0,League One,3,2024-08-24
