match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Chesterfield vs Swindon,O/U,Under 2.5,2.37,0.5031983845060854,0.42194092827004215,0.0812574562360433,True,13.700000000000001,League Two,4,2024-08-09
Exeter vs Rotherham,1X2,Home,3.01,0.6225602836283131,0.33222591362126247,0.2903343700070506,True,20.099999999999998,League One,3,2024-08-10
Stockport vs Cambridge,1X2,Home,1.65,0.7251887843165631,0.6060606060606061,0.119128178255957,True,6.499999999999999,League One,3,2024-08-10
Wrexham vs Wycombe,1X2,Home,2.01,0.5929176109550616,0.49751243781094534,0.09540517314411623,True,10.099999999999998,League One,3,2024-08-10
Swindon vs Walsall,O/U,Under 2.5,2.26,0.49860184081608194,0.4424778761061947,0.05612396470988723,False,-10.0,League Two,4,2024-08-17
Newport County vs Doncaster,1X2,Away,1.81,0.6230500110811475,0.5524861878453039,0.07056382323584365,False,-10.0,League Two,4,2024-08-17
Crewe vs Chesterfield,O/U,Under 2.5,2.06,0.543844484217116,0.4854368932038835,0.05840759101323245,False,-10.0,League Two,4,2024-08-17
Mansfield vs Burton,1X2,Home,1.81,0.6254890517811975,0.5524861878453039,0.07300286393589361,False,-10.0,League One,3,2024-08-17
Cambridge vs Crawley Town,1X2,Away,3.28,0.44473590977856087,0.3048780487804878,0.13985786099807307,True,22.799999999999997,League One,3,2024-08-17
Stockport vs Bristol Rvs,1X2,Home,1.72,0.7053108247906261,0.5813953488372093,0.12391547595341679,True,7.199999999999999,League One,3,2024-08-24
Exeter vs Peterboro,1X2,Home,3.17,0.4195319895773155,0.31545741324921134,0.10407457632810418,False,-10.0,League One,3,2024-08-24
Wycombe vs Rotherham,1X2,Home,2.43,0.5292298058938802,0.4115226337448559,0.11770717214902432,True,14.3,League One,3,2024-08-24
Birmingham vs Wigan,O/U,Under 2.5,2.2,0.5665169452483511,0.45454545454545453,0.11197149070289653,False,-10.0,League One,3,2024-08-31
Port Vale vs Doncaster,1X2,Away,2.62,0.5162861670581969,0.38167938931297707,0.13460677774521979,True,16.200000000000003,League Two,4,2024-08-31
Harrogate vs Barrow,1X2,Home,3.28,0.4187194556588979,0.3048780487804878,0.1138414068784101,False,-10.0,League Two,4,2024-08-31
Swindon vs Notts County,O/U,Under 2.5,2.46,0.5008018491799602,0.4065040650406504,0.09429778413930978,False,-10.0,League Two,4,2024-08-31
Crawley Town vs Barnsley,1X2,Home,2.98,0.5698753200339264,0.33557046979865773,0.23430485023526865,False,-10.0,League One,3,2024-08-31
Chesterfield vs Grimsby,O/U,Under 2.5,2.09,0.5450540578966612,0.47846889952153115,0.06658515837513002,False,-10.0,League Two,4,2024-09-07
Doncaster vs Gillingham,1X2,Home,1.82,0.6363566575480453,0.5494505494505494,0.08690610809749588,True,8.200000000000001,League Two,4,2024-09-07
Bolton vs Huddersfield,1X2,Home,2.12,0.5747351057220701,0.4716981132075471,0.10303699251452297,False,-10.0,League One,3,2024-09-14
Rotherham vs Burton,O/U,Under 2.5,2.07,0.5441533888629039,0.48309178743961356,0.06106160142329031,False,-10.0,League One,3,2024-09-14
Stevenage vs Barnsley,1X2,Home,2.95,0.4373010053134118,0.3389830508474576,0.0983179544659542,True,19.5,League One,3,2024-09-14
Northampton vs Wycombe,1X2,Home,3.23,0.40676530201751326,0.30959752321981426,0.097167778797699,False,-10.0,League One,3,2024-09-14
Birmingham vs Wrexham,1X2,Away,3.99,0.45417930405482093,0.2506265664160401,0.20355273763878085,False,-10.0,League One,3,2024-09-16
Swindon vs Carlisle,O/U,Under 2.5,1.97,0.5593253004183207,0.5076142131979695,0.051711087220351226,True,9.7,League Two,4,2024-09-21
Peterboro vs Bristol Rvs,O/U,Under 2.5,2.36,0.51154505471833,0.42372881355932207,0.08781624115900794,False,-10.0,League One,3,2024-09-21
Huddersfield vs Northampton,O/U,Under 2.5,2.01,0.5538584233178916,0.49751243781094534,0.05634598550694625,False,-10.0,League One,3,2024-09-21
Chesterfield vs Cheltenham,O/U,Under 2.5,2.2,0.5166680772203505,0.45454545454545453,0.06212262267489593,True,12.000000000000002,League Two,4,2024-09-21
Morecambe vs Notts County,O/U,Under 2.5,2.29,0.5174658924391992,0.4366812227074236,0.08078466973177556,True,12.9,League Two,4,2024-09-28
Leyton Orient vs Wrexham,1X2,Away,2.46,0.4868242196397633,0.4065040650406504,0.0803201545991129,False,-10.0,League One,3,2024-09-28
Birmingham vs Peterboro,O/U,Under 2.5,2.45,0.5105858177861055,0.4081632653061224,0.10242255247998305,False,-10.0,League One,3,2024-09-28
Reading vs Huddersfield,1X2,Home,2.86,0.45989307749287434,0.3496503496503497,0.11024272784252465,True,18.599999999999998,League One,3,2024-09-28
Carlisle vs Notts County,O/U,Under 2.5,2.33,0.5190312488886054,0.4291845493562232,0.08984669953238222,True,13.3,League Two,4,2024-10-01
Charlton vs Birmingham,O/U,Under 2.5,1.96,0.573856047629991,0.5102040816326531,0.06365196599733791,True,9.6,League One,3,2024-10-05
Salford vs Grimsby,O/U,Under 2.5,1.89,0.5807308423903542,0.5291005291005292,0.051630313289825036,False,-10.0,League Two,4,2024-10-12
Chesterfield vs Notts County,O/U,Under 2.5,2.28,0.5178310457299671,0.4385964912280702,0.07923455450189687,False,-10.0,League Two,4,2024-10-12
Newport County vs Chesterfield,O/U,Under 2.5,2.26,0.5098788979968167,0.4424778761061947,0.06740102189062203,False,-10.0,League Two,4,2024-10-18
Reading vs Crawley Town,O/U,Under 2.5,2.3,0.5070520363492299,0.4347826086956522,0.07226942765357769,False,-10.0,League One,3,2024-10-19
Swindon vs Doncaster,O/U,Under 2.5,1.91,0.578670689783247,0.5235602094240838,0.055110480359163216,False,-10.0,League Two,4,2024-10-19
Milton Keynes Dons vs Accrington,O/U,Under 2.5,2.26,0.5291831194922414,0.4424778761061947,0.08670524338604668,False,-10.0,League Two,4,2024-10-22
Doncaster vs Bromley,O/U,Under 2.5,2.06,0.537352959722796,0.4854368932038835,0.05191606651891245,True,10.600000000000001,League Two,4,2024-10-22
Peterboro vs Blackpool,O/U,Under 2.5,2.26,0.5046199835714567,0.4424778761061947,0.06214210746526194,False,-10.0,League One,3,2024-10-22
Newport County vs Fleetwood Town,O/U,Under 2.5,2.18,0.5438654592909784,0.4587155963302752,0.0851498629607032,True,11.8,League Two,4,2024-10-26
Notts County vs Harrogate,O/U,Under 2.5,2.23,0.5133909837261749,0.4484304932735426,0.06496049045263225,True,12.3,League Two,4,2024-10-26
Chesterfield vs Accrington,O/U,Under 2.5,2.16,0.533920479387213,0.4629629629629629,0.07095751642425008,False,-10.0,League Two,4,2024-11-09
Doncaster vs Notts County,O/U,Under 2.5,2.2,0.5143115806729146,0.45454545454545453,0.05976612612746007,True,12.000000000000002,League Two,4,2024-11-09
Birmingham vs Northampton,O/U,Under 2.5,2.36,0.5044702797687107,0.42372881355932207,0.08074146620938866,True,13.599999999999998,League One,3,2024-11-09
Peterboro vs Cambridge,O/U,Under 2.5,2.2,0.5081754824629654,0.45454545454545453,0.05363002791751087,False,-10.0,League One,3,2024-11-09
Newport County vs Grimsby,O/U,Under 2.5,1.97,0.56730340343806,0.5076142131979695,0.05968919024009045,True,9.7,League Two,4,2024-11-16
Crewe vs Notts County,1X2,Home,2.77,0.44787359507989666,0.36101083032490977,0.08686276475498689,True,17.7,League Two,4,2024-11-16
Shrewsbury vs Birmingham,O/U,Under 2.5,2.11,0.5478436203506889,0.47393364928909953,0.07390997106158936,False,-10.0,League One,3,2024-11-23
Wrexham vs Exeter,O/U,Under 2.5,1.83,0.5973804160842588,0.5464480874316939,0.05093232865256492,False,-10.0,League One,3,2024-11-23
Notts County vs Newport County,O/U,Under 2.5,2.43,0.5574592845383576,0.4115226337448559,0.14593665079350165,True,14.3,League Two,4,2024-11-23
Bristol Rvs vs Blackpool,O/U,Under 2.5,2.13,0.532366100129108,0.4694835680751174,0.06288253205399064,True,11.299999999999999,League One,3,2024-11-26
Exeter vs Birmingham,O/U,Under 2.5,2.03,0.5696966849214404,0.4926108374384237,0.07708584748301672,True,10.299999999999997,League One,3,2024-11-26
Charlton vs Crawley Town,O/U,Under 2.5,2.05,0.5480578147285268,0.48780487804878053,0.06025293667974624,False,-10.0,League One,3,2024-12-03
Birmingham vs Stockport,O/U,Under 2.5,2.01,0.5492718502192064,0.49751243781094534,0.051759412408261096,True,10.099999999999998,League One,3,2024-12-04
Peterboro vs Burton,O/U,Under 2.5,2.59,0.48769256136872396,0.3861003861003861,0.10159217526833786,True,15.899999999999999,League One,3,2024-12-04
Barnsley vs Birmingham,1X2,Home,3.39,0.38231267714135164,0.2949852507374631,0.08732742640388852,False,-10.0,League One,3,2024-12-07
Northampton vs Peterboro,O/U,Under 2.5,2.33,0.5123555333700764,0.4291845493562232,0.08317098401385326,False,-10.0,League One,3,2024-12-09
Colchester vs Newport County,O/U,Under 2.5,1.95,0.5770379727869556,0.5128205128205129,0.06421745996644268,True,9.5,League Two,4,2024-12-14
Salford vs Notts County,1X2,Home,2.47,0.5030388907591483,0.4048582995951417,0.09818059116400663,True,14.700000000000003,League Two,4,2024-12-14
Peterboro vs Crawley Town,O/U,Under 2.5,2.51,0.5170083223925039,0.39840637450199207,0.11860194789051187,False,-10.0,League One,3,2024-12-14
Huddersfield vs Lincoln,1X2,Home,1.84,0.6024712094429364,0.5434782608695652,0.05899294857337123,False,-10.0,League One,3,2024-12-14
Birmingham vs Bristol Rvs,O/U,Under 2.5,2.4,0.5207376674371015,0.4166666666666667,0.1040710007704348,True,14.0,League One,3,2024-12-14
Fleetwood Town vs Accrington,O/U,Under 2.5,1.96,0.5662920799566095,0.5102040816326531,0.05608799832395639,True,9.6,League Two,4,2024-12-16
Newport County vs Milton Keynes Dons,O/U,Under 2.5,2.09,0.5325467853613604,0.47846889952153115,0.0540778858398292,False,-10.0,League Two,4,2024-12-21
Burton vs Exeter,1X2,Home,2.89,0.4305833523480144,0.3460207612456747,0.08456259110233971,False,-10.0,League One,3,2024-12-21
Crawley Town vs Birmingham,O/U,Under 2.5,2.24,0.5376925826246614,0.4464285714285714,0.09126401119608996,True,12.400000000000002,League One,3,2024-12-23
Birmingham vs Burton,O/U,Under 2.5,2.39,0.4953349862123657,0.41841004184100417,0.07692494437136155,True,13.900000000000002,League One,3,2024-12-26
Bolton vs Barnsley,O/U,Under 2.5,2.13,0.5246158911623486,0.4694835680751174,0.05513232308723126,False,-10.0,League One,3,2024-12-26
Peterboro vs Mansfield,O/U,Under 2.5,2.34,0.5022191185327357,0.4273504273504274,0.07486869118230832,False,-10.0,League One,3,2024-12-26
Reading vs Northampton,O/U,Under 2.5,2.12,0.5262239172196852,0.4716981132075471,0.05452580401213808,False,-10.0,League One,3,2024-12-26
Bromley vs Newport County,O/U,Under 2.5,2.18,0.5224410354451163,0.4587155963302752,0.06372543911484113,False,-10.0,League Two,4,2024-12-26
Wrexham vs Blackpool,O/U,Under 2.5,1.91,0.5843674020070388,0.5235602094240838,0.06080719258295508,False,-10.0,League One,3,2024-12-26
Grimsby vs Port Vale,1X2,Home,2.98,0.45408307689553284,0.33557046979865773,0.11851260709687511,True,19.8,League Two,4,2024-12-29
Exeter vs Crawley Town,O/U,Under 2.5,1.96,0.5722805630213056,0.5102040816326531,0.062076481388652516,False,-10.0,League One,3,2024-12-29
Cheltenham vs Notts County,1X2,Home,2.97,0.4345560467606697,0.33670033670033667,0.09785571006033306,False,-10.0,League Two,4,2024-12-29
Peterboro vs Barnsley,O/U,Under 2.5,2.44,0.49790654448176497,0.4098360655737705,0.08807047890799446,False,-10.0,League One,3,2024-12-29
Reading vs Mansfield,O/U,Under 2.5,2.13,0.5355719445815489,0.4694835680751174,0.06608837650643151,False,-10.0,League One,3,2024-12-29
Blackpool vs Shrewsbury,O/U,Under 2.5,2.09,0.5716577862670251,0.47846889952153115,0.09318888674549397,True,10.899999999999999,League One,3,2025-01-01
Bristol Rvs vs Leyton Orient,1X2,Away,2.04,0.5632660477390985,0.49019607843137253,0.07306996930772597,True,10.4,League One,3,2025-01-01
Burton vs Peterboro,O/U,Under 2.5,2.21,0.5262165775494877,0.45248868778280543,0.07372788976668226,False,-10.0,League One,3,2025-01-01
Huddersfield vs Rotherham,1X2,Home,1.74,0.6363812941643873,0.5747126436781609,0.061668650486226384,False,-10.0,League One,3,2025-01-04
Barnsley vs Crawley Town,O/U,Under 2.5,2.31,0.514150423834475,0.4329004329004329,0.08124999093404206,False,-10.0,League One,3,2025-01-04
Wycombe vs Blackpool,O/U,Under 2.5,1.94,0.5836784931563727,0.5154639175257733,0.0682145756305994,True,9.399999999999999,League One,3,2025-01-04
Stockport vs Mansfield,1X2,Home,1.99,0.5925451783325231,0.5025125628140703,0.09003261551845276,False,-10.0,League One,3,2025-01-04
Mansfield vs Wycombe,O/U,Under 2.5,1.88,0.584737251487701,0.5319148936170213,0.05282235787067968,False,-10.0,League One,3,2025-01-18
Crawley Town vs Burton,O/U,Under 2.5,1.98,0.5623238099664978,0.5050505050505051,0.057273304915992695,True,9.8,League One,3,2025-01-18
Peterboro vs Leyton Orient,O/U,Under 2.5,2.09,0.5415669428043848,0.47846889952153115,0.06309804328285362,True,10.899999999999999,League One,3,2025-01-18
Birmingham vs Exeter,O/U,Under 2.5,2.13,0.5216423932749864,0.4694835680751174,0.05215882519986903,True,11.299999999999999,League One,3,2025-01-18
Salford vs Fleetwood Town,1X2,Home,1.87,0.6305236416117823,0.53475935828877,0.09576428332301234,False,-10.0,League Two,4,2025-01-18
Peterboro vs Exeter,O/U,Under 2.5,2.15,0.5223600623311467,0.46511627906976744,0.0572437832613793,True,11.5,League One,3,2025-01-21
Leyton Orient vs Reading,1X2,Home,1.68,0.6813979388426572,0.5952380952380952,0.08615984360456197,True,6.799999999999999,League One,3,2025-01-25
Huddersfield vs Bolton,1X2,Home,1.96,0.6182258249826305,0.5102040816326531,0.10802174334997738,False,-10.0,League One,3,2025-01-25
Wycombe vs Northampton,O/U,Under 2.5,2.0,0.5545845203998181,0.5,0.05458452039981809,True,10.0,League One,3,2025-01-25
Bradford vs Walsall,1X2,Away,2.58,0.49879255327468774,0.38759689922480617,0.11119565404988158,False,-10.0,League Two,4,2025-01-25
Fleetwood Town vs Walsall,1X2,Away,2.3,0.5308756555368603,0.4347826086956522,0.09609304684120812,False,-10.0,League Two,4,2025-01-28
Huddersfield vs Birmingham,1X2,Home,2.98,0.47604028772229534,0.33557046979865773,0.1404698179236376,False,-10.0,League One,3,2025-01-28
Mansfield vs Crawley Town,O/U,Under 2.5,2.15,0.5153995701131258,0.46511627906976744,0.050283291043358325,True,11.5,League One,3,2025-01-28
Exeter vs Leyton Orient,1X2,Away,2.22,0.5539934326899991,0.4504504504504504,0.10354298223954872,True,12.200000000000003,League One,3,2025-01-28
Bolton vs Northampton,O/U,Under 2.5,2.07,0.5669434066258688,0.48309178743961356,0.08385161918625528,False,-10.0,League One,3,2025-01-28
Reading vs Bolton,O/U,Under 2.5,2.12,0.5335553600335572,0.4716981132075471,0.06185724682601007,True,11.200000000000001,League One,3,2025-02-01
Leyton Orient vs Stockport,1X2,Home,2.6,0.5284353134576234,0.3846153846153846,0.14381992884223882,False,-10.0,League One,3,2025-02-01
Bristol Rvs vs Peterboro,O/U,Under 2.5,2.06,0.5638477724580503,0.4854368932038835,0.07841087925416679,False,-10.0,League One,3,2025-02-02
Salford vs Bromley,1X2,Home,2.22,0.532868260653278,0.4504504504504504,0.08241781020282757,False,-10.0,League Two,4,2025-02-04
Bolton vs Crawley Town,O/U,Under 2.5,2.43,0.5135672820138825,0.4115226337448559,0.10204464826902654,False,-10.0,League One,3,2025-02-08
Swindon vs Port Vale,1X2,Home,2.26,0.6202622447579964,0.4424778761061947,0.1777843686518017,False,-10.0,League Two,4,2025-02-08
Walsall vs Gillingham,O/U,Over 2.5,2.06,0.555428347078718,0.4854368932038835,0.06999145387483452,False,-10.0,League Two,4,2025-02-11
Charlton vs Peterboro,O/U,Under 2.5,2.29,0.4885149628190302,0.4366812227074236,0.051833740111606574,False,-10.0,League One,3,2025-02-11
Leyton Orient vs Lincoln,O/U,Over 2.5,2.26,0.493373769213934,0.4424778761061947,0.05089589310773929,True,12.599999999999998,League One,3,2025-02-15
Leyton Orient vs Lincoln,1X2,Home,1.83,0.6430178146850989,0.5464480874316939,0.09656972725340496,True,8.3,League One,3,2025-02-15
Wycombe vs Bristol Rvs,O/U,Under 2.5,2.09,0.5316246305131462,0.47846889952153115,0.05315573099161508,True,10.899999999999999,League One,3,2025-02-18
Fleetwood Town vs AFC Wimbledon,1X2,Home,3.22,0.3918534409364997,0.3105590062111801,0.08129443472531961,False,-10.0,League Two,4,2025-02-18
Swindon vs Chesterfield,1X2,Home,2.69,0.49408065232451615,0.3717472118959108,0.12233344042860533,True,16.9,League Two,4,2025-02-22
Reading vs Birmingham,O/U,Under 2.5,2.06,0.5800831075019044,0.4854368932038835,0.09464621429802089,True,10.600000000000001,League One,3,2025-02-22
Doncaster vs Newport County,O/U,Under 2.5,2.32,0.4895343317662466,0.4310344827586207,0.05849984900762589,False,-10.0,League Two,4,2025-03-01
Swindon vs Salford,O/U,Over 2.5,2.22,0.5038558556763654,0.4504504504504504,0.05340540522591497,True,12.200000000000003,League Two,4,2025-03-04
Swindon vs Salford,1X2,Home,2.01,0.5868413518486206,0.49751243781094534,0.08932891403767529,False,-10.0,League Two,4,2025-03-04
Blackpool vs Peterboro,O/U,Under 2.5,2.25,0.5086082076239271,0.4444444444444444,0.06416376317948269,True,12.5,League One,3,2025-03-04
Accrington vs Milton Keynes Dons,1X2,Home,2.46,0.4946261354619028,0.4065040650406504,0.08812207042125242,True,14.6,League Two,4,2025-03-04
Tranmere vs Bromley,1X2,Home,2.41,0.4956563996158264,0.41493775933609955,0.08071864027972686,True,14.100000000000001,League Two,4,2025-03-08
Harrogate vs Carlisle,1X2,Home,2.72,0.46882203990546706,0.3676470588235294,0.10117498108193768,True,17.200000000000003,League Two,4,2025-03-08
Chesterfield vs Newport County,O/U,Under 2.5,2.14,0.5192728488593975,0.4672897196261682,0.051983129233229286,False,-10.0,League Two,4,2025-03-08
Peterboro vs Wycombe,O/U,Under 2.5,1.99,0.5970411582377496,0.5025125628140703,0.0945285954236793,True,9.9,League One,3,2025-03-08
Crawley Town vs Reading,O/U,Under 2.5,2.17,0.5449469187726027,0.4608294930875576,0.0841174256850451,True,11.7,League One,3,2025-03-08
Reading vs Wrexham,O/U,Under 2.5,1.84,0.5948708056004525,0.5434782608695652,0.05139254473088728,True,8.4,League One,3,2025-03-11
Crawley Town vs Charlton,O/U,Under 2.5,1.96,0.5638977226068836,0.5102040816326531,0.05369364097423057,True,9.6,League One,3,2025-03-11
Mansfield vs Barnsley,O/U,Under 2.5,1.98,0.5617621314562163,0.5050505050505051,0.05671162640571126,False,-10.0,League One,3,2025-03-15
Huddersfield vs Crawley Town,O/U,Under 2.5,2.26,0.5398722603973483,0.4424778761061947,0.09739438429115355,False,-10.0,League One,3,2025-03-15
Blackpool vs Leyton Orient,1X2,Home,2.27,0.5274093044530213,0.44052863436123346,0.08688067009178779,False,-10.0,League One,3,2025-03-15
Cambridge vs Peterboro,O/U,Under 2.5,2.01,0.5480993101502952,0.49751243781094534,0.050586872339349886,True,10.099999999999998,League One,3,2025-03-15
Grimsby vs Salford,1X2,Home,2.03,0.5811162135605761,0.4926108374384237,0.08850537612215237,False,-10.0,League Two,4,2025-03-15
Barnsley vs Cambridge,O/U,Under 2.5,2.07,0.5645686679226132,0.48309178743961356,0.08147688048299961,True,10.7,League One,3,2025-03-22
Peterboro vs Charlton,O/U,Under 2.5,1.92,0.5822466966708503,0.5208333333333334,0.0614133633375169,False,-10.0,League One,3,2025-03-22
Reading vs Peterboro,O/U,Under 2.5,2.17,0.5840103969559424,0.4608294930875576,0.12318090386838476,False,-10.0,League One,3,2025-03-29
Exeter vs Wrexham,O/U,Under 2.5,1.61,0.6733659079727922,0.6211180124223602,0.052247895550431966,True,6.100000000000001,League One,3,2025-03-29
Swindon vs AFC Wimbledon,1X2,Home,2.99,0.4353998567150307,0.33444816053511706,0.10095169617991362,True,19.900000000000002,League Two,4,2025-04-01
Crawley Town vs Peterboro,O/U,Under 2.5,2.23,0.539186964554542,0.4484304932735426,0.09075647128099934,False,-10.0,League One,3,2025-04-01
Doncaster vs Walsall,1X2,Home,2.03,0.5914563193813291,0.4926108374384237,0.09884548194290543,False,-10.0,League Two,4,2025-04-01
Barnsley vs Exeter,O/U,Under 2.5,2.02,0.5813372718875636,0.49504950495049505,0.08628776693706852,False,-10.0,League One,3,2025-04-01
Notts County vs Milton Keynes Dons,O/U,Under 2.5,2.32,0.5557086703913398,0.4310344827586207,0.12467418763271904,False,-10.0,League Two,4,2025-04-02
Reading vs Wycombe,O/U,Under 2.5,1.83,0.6034790168166971,0.5464480874316939,0.057030929385003204,True,8.3,League One,3,2025-04-05
Birmingham vs Barnsley,O/U,Under 2.5,2.24,0.5240747292227855,0.4464285714285714,0.07764615779421413,False,-10.0,League One,3,2025-04-05
Bolton vs Bristol Rvs,O/U,Under 2.5,2.26,0.49992901686387914,0.4424778761061947,0.05745114075768443,True,12.599999999999998,League One,3,2025-04-05
Huddersfield vs Mansfield,O/U,Under 2.5,1.96,0.5630994052891349,0.5102040816326531,0.05289532365648186,False,-10.0,League One,3,2025-04-05
Peterboro vs Northampton,O/U,Under 2.5,2.01,0.5495368666016995,0.49751243781094534,0.052024428790754196,False,-10.0,League One,3,2025-04-05
Peterboro vs Birmingham,O/U,Under 2.5,2.22,0.5111379256132345,0.4504504504504504,0.060687475162784055,False,-10.0,League One,3,2025-04-08
Crawley Town vs Leyton Orient,1X2,Home,3.1,0.4454219942291271,0.3225806451612903,0.12284134906783678,False,-10.0,League One,3,2025-04-12
Doncaster vs AFC Wimbledon,O/U,Over 2.5,2.16,0.5380351663222875,0.4629629629629629,0.07507220335932463,False,-10.0,League Two,4,2025-04-12
Doncaster vs AFC Wimbledon,1X2,Home,1.95,0.6000936170989479,0.5128205128205129,0.08727310427843504,False,-10.0,League Two,4,2025-04-12
Barrow vs Walsall,1X2,Home,2.85,0.4552961591786797,0.3508771929824561,0.1044189661962236,True,18.5,League Two,4,2025-04-12
Peterboro vs Stockport,O/U,Under 2.5,2.08,0.5516836542735032,0.4807692307692307,0.07091442350427246,True,10.8,League One,3,2025-04-18
Milton Keynes Dons vs Newport County,O/U,Under 2.5,2.28,0.5382549287794188,0.4385964912280702,0.09965843755134862,True,12.799999999999997,League Two,4,2025-04-18
Lincoln vs Bolton,1X2,Home,3.09,0.4650085414444157,0.3236245954692557,0.14138394597516002,True,20.9,League One,3,2025-04-21
Mansfield vs Reading,O/U,Under 2.5,2.1,0.5687957348361599,0.47619047619047616,0.0926052586456837,False,-10.0,League One,3,2025-04-21
Notts County vs Cheltenham,O/U,Under 2.5,2.2,0.5274885145003898,0.45454545454545453,0.07294305995493527,False,-10.0,League Two,4,2025-04-21
Crawley Town vs Exeter,O/U,Under 2.5,1.94,0.5854387384258406,0.5154639175257733,0.06997482090006735,False,-10.0,League One,3,2025-04-21
Swindon vs Bromley,1X2,Home,1.82,0.6002728623045053,0.5494505494505494,0.05082231285395589,False,-10.0,League Two,4,2025-04-21
Doncaster vs Colchester,O/U,Over 2.5,2.05,0.5479394817584748,0.48780487804878053,0.06013460370969431,True,10.499999999999998,League Two,4,2025-04-21
Gillingham vs AFC Wimbledon,1X2,Home,3.37,0.40091669854884365,0.29673590504451036,0.10418079350433329,True,23.700000000000003,League Two,4,2025-04-21
Chesterfield vs Bradford,1X2,Home,2.34,0.5510460564509736,0.4273504273504274,0.12369562910054621,False,-10.0,League Two,4,2025-04-21
Crawley Town vs Northampton,O/U,Under 2.5,2.1,0.5755185308452149,0.47619047619047616,0.0993280546547387,False,-10.0,League One,3,2025-04-26
Doncaster vs Bradford,1X2,Home,2.11,0.6012253820765596,0.47393364928909953,0.1272917327874601,True,11.099999999999998,League Two,4,2025-04-26
Fleetwood Town vs Newport County,O/U,Under 2.5,2.06,0.536182263996085,0.4854368932038835,0.05074537079220154,True,10.600000000000001,League Two,4,2025-04-26
Peterboro vs Bolton,O/U,Under 2.5,2.37,0.5416673891770698,0.42194092827004215,0.11972646090702765,True,13.700000000000001,League One,3,2025-04-26
Bristol Rvs vs Reading,O/U,Under 2.5,2.01,0.5683514944877166,0.49751243781094534,0.07083905667677126,True,10.099999999999998,League One,3,2025-04-26
Barnsley vs Shrewsbury,O/U,Under 2.5,2.24,0.535178655136576,0.4464285714285714,0.08875008370800463,False,-10.0,League One,3,2025-04-26
Mansfield vs Peterboro,O/U,Under 2.5,2.23,0.5358424262495378,0.4484304932735426,0.0874119329759952,False,-10.0,League One,3,2025-04-30
Northampton vs Wigan,1X2,Home,2.54,0.4746296673055378,0.39370078740157477,0.08092887990396302,False,-10.0,League One,3,2025-05-03
Cambridge vs Birmingham,O/U,Under 2.5,2.09,0.5469934944104102,0.47846889952153115,0.06852459488887908,False,-10.0,League One,3,2025-05-03
Huddersfield vs Leyton Orient,O/U,Under 2.5,2.09,0.5325974539936804,0.47846889952153115,0.05412855447214926,False,-10.0,League One,3,2025-05-03
