match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Eupen vs Westerlo,1X2,Home,3.36,0.3845946451113248,0.2976190476190476,0.08697559749227718,False,-10.0,Jupiler Pro League,1,2023-07-29
Club Brugge vs Mechelen,1X2,Home,1.47,0.7755550634367723,0.6802721088435374,0.09528295459323488,False,-10.0,Jupiler Pro League,1,2023-07-30
Livingston vs Aberdeen,1X2,Home,2.87,0.43109680211138246,0.3484320557491289,0.08266474636225357,False,-10.0,Premiership,1,2023-08-05
St Johnstone vs Hearts,1X2,Home,3.13,0.5001550703091036,0.3194888178913738,0.18066625241772977,False,-10.0,Premiership,1,2023-08-05
Anderlecht vs Antwerp,1X2,Away,2.58,0.5252541998320314,0.38759689922480617,0.1376573006072252,False,-10.0,Jupiler Pro League,1,2023-08-06
Burnley vs Man City,O/U,Under 2.5,2.27,0.5178001965011133,0.44052863436123346,0.07727156213987985,False,-10.0,Premier League,1,2023-08-11
Sheffield United vs Crystal Palace,1X2,Home,3.12,0.43298580796741315,0.3205128205128205,0.11247298745459267,False,-10.0,Premier League,1,2023-08-12
Farense vs Casa Pia,1X2,Home,2.49,0.5121793926150155,0.4016064257028112,0.11057296691220436,False,-10.0,Liga Portugal,1,2023-08-12
Ath Bilbao vs Real Madrid,1X2,Home,3.4,0.4160428202582388,0.29411764705882354,0.12192517319941526,False,-10.0,La Liga,1,2023-08-12
Las Palmas vs Mallorca,1X2,Home,2.44,0.561593464962767,0.4098360655737705,0.15175739938899646,False,-10.0,La Liga,1,2023-08-12
Ross County vs St Johnstone,1X2,Away,3.61,0.3792252654787056,0.2770083102493075,0.10221695522939811,False,-10.0,Premiership,1,2023-08-12
Kasimpasa vs Ankaragucu,O/U,Under 2.5,2.32,0.5251936150739057,0.4310344827586207,0.094159132315285,False,-10.0,Super Lig,1,2023-08-12
Nijmegen vs Excelsior,O/U,Under 2.5,2.4,0.5133392487041835,0.4166666666666667,0.09667258203751677,False,-10.0,Eredivisie,1,2023-08-13
Clermont vs Monaco,1X2,Home,3.48,0.5848604551698822,0.28735632183908044,0.2975041333308017,False,-10.0,Ligue 1,1,2023-08-13
Brentford vs Tottenham,O/U,Under 2.5,2.18,0.5119013141347724,0.4587155963302752,0.05318571780449716,False,-10.0,Premier League,1,2023-08-13
St Truiden vs Anderlecht,1X2,Home,3.26,0.394840551149661,0.3067484662576687,0.08809208489199227,False,-10.0,Jupiler Pro League,1,2023-08-13
Motherwell vs Hibernian,1X2,Home,2.56,0.6034225921152027,0.390625,0.21279759211520266,True,15.600000000000001,Premiership,1,2023-08-13
Chelsea vs Liverpool,1X2,Away,2.39,0.6058966380692073,0.41841004184100417,0.18748659622820318,False,-10.0,Premier League,1,2023-08-13
Ad. Demirspor vs Rizespor,1X2,Home,1.57,0.7577874416009892,0.6369426751592356,0.12084476644175357,True,5.700000000000001,Super Lig,1,2023-08-13
Villarreal vs Betis,1X2,Home,1.77,0.628676617298309,0.5649717514124294,0.06370486588587965,False,-10.0,La Liga,1,2023-08-13
Cadiz vs Alaves,1X2,Away,3.79,0.3697726895848287,0.2638522427440633,0.10592044684076535,False,-10.0,La Liga,1,2023-08-14
