bot,segment,n,win_pct,clv_pct,roi_pct
bot_1h_1x2_paper_shadow_v1,ALL,167,41.3,,2.7
bot_1h_1x2_paper_shadow_v1,market=1x2_1h,167,41.3,,2.7
bot_1h_1x2_paper_shadow_v1,selection=away,55,41.8,,6.3
bot_1h_1x2_paper_shadow_v1,selection=home,97,40.2,,0.2
bot_1h_1x2_paper_shadow_v1,odds 1.8-2.2,30,46.7,,-5.2
bot_1h_1x2_paper_shadow_v1,odds 2.2-2.8,52,46.2,,10.8
bot_1h_1x2_paper_shadow_v1,edge 18%+,141,39.0,,-8.1
bot_1h_1x2_paper_shadow_v1,edge >= 5%,163,41.1,,2.5
bot_1h_1x2_paper_shadow_v1,edge >= 8%,161,41.0,,2.4
bot_1h_1x2_paper_shadow_v1,edge >= 10%,159,40.3,,1.3
bot_1h_1x2_paper_shadow_v1,edge >= 13%,157,40.1,,1.2
bot_1h_1x2_paper_shadow_v1,edge >= 15%,154,39.6,,0.2
bot_1h_1x2_paper_shadow_v1,odds >= 1.8,148,37.2,,0.6
bot_1h_1x2_paper_shadow_v1,odds >= 2.2,118,34.7,,2.1
bot_1h_1x2_paper_shadow_v1,odds >= 2.8,66,25.8,,-4.8
bot_1h_1x2_paper_shadow_v1,odds >= 3.2,42,21.4,,-6.7
bot_acca_leg_shadow,market=over_under_15,58,62.1,0.36,-6.6
bot_acca_leg_shadow,selection=over,153,56.2,-1.33,-7.5
bot_acca_leg_shadow,edge 18%+,217,48.8,-1.87,-16.0
bot_acca_leg_shadow,odds <1.8,397,57.4,-1.99,-9.4
bot_acca_leg_shadow,edge >= 15%,295,49.5,-2.02,-15.1
bot_acca_leg_shadow,edge >= 13%,352,50.9,-2.23,-13.5
bot_acca_leg_shadow,edge >= 10%,452,52.2,-2.47,-12.3
bot_acca_leg_shadow,ALL,533,53.3,-2.54,-11.3
bot_acca_leg_shadow,edge >= 5%,533,53.3,-2.54,-11.3
bot_acca_leg_shadow,edge >= 8%,533,53.3,-2.54,-11.3
bot_acca_leg_shadow,edge 8-10%,81,59.3,-2.94,-5.9
bot_acca_leg_shadow,edge 13-18%,135,54.1,-2.95,-9.7
bot_acca_leg_shadow,market=over_under_35,117,52.1,-3.05,-14.1
bot_acca_leg_shadow,edge 10-13%,100,57.0,-3.32,-7.7
bot_acca_leg_shadow,market=over_under_25,133,50.4,-3.35,-11.2
bot_acca_leg_shadow,odds 1.8-2.2,102,41.2,-3.41,-20.7
bot_acca_leg_shadow,selection=under,155,50.3,-3.72,-15.3
bot_acca_leg_shadow,odds >= 1.8,136,41.2,-4.01,-17.0
bot_acca_leg_shadow,odds 2.2-2.8,34,41.2,-6.02,-5.7
bot_acca_leg_shadow,odds >= 2.2,34,41.2,-6.02,-5.7
bot_acca_leg_shadow,market=btts,225,53.3,,-11.1
bot_acca_leg_shadow,selection=no,58,53.4,,-6.9
bot_acca_leg_shadow,selection=yes,167,53.3,,-12.6
bot_aggressive,edge >= 10%,68,32.4,5.19,5.6
bot_aggressive,selection=home,147,33.3,0.89,3.8
bot_aggressive,edge >= 8%,172,34.3,-0.49,3.3
bot_aggressive,odds 3.2-4.0,87,23.0,-1.65,-19.1
bot_aggressive,edge 10-13%,42,26.2,-1.96,-18.9
bot_aggressive,market=1x2,294,26.2,-2.03,-5.4
bot_aggressive,selection=away,55,23.6,-2.21,10.1
bot_aggressive,odds 2.8-3.2,72,36.1,-2.86,8.5
bot_aggressive,edge >= 5%,432,33.8,-2.91,0.6
bot_aggressive,ALL,484,33.3,-3.05,-3.6
