sport,division_label,date_norm,forecast_type,forecast_status,odds,game_status,confidence
football,Premier League,20260126,BTTS,Won,1.91,Match Finished,2
football,Serie A,20260126,Draw No Bet,Won,1.88,Match Finished,2
football,La Liga,20260126,Over-Under,Lost,3.0,Match Finished,3
football,Primeira Liga,20260126,Moneyline,Won,1.38,Match Finished,2
football,Bundesliga,20260127,Moneyline,Lost,1.8,Match Finished,3
football,Bundesliga,20260127,Over-Under,Lost,1.62,Match Finished,1
football,UEFA Champions League,20260128,BTTS,Won,1.67,Match Finished,2
football,UEFA Champions League,20260128,Over-Under,Lost,1.67,Match Finished,1
football,UEFA Champions League,20260128,Draw No Bet,Push,1.55,Match Finished,1
football,UEFA Champions League,20260128,Moneyline,Lost,1.5,Match Finished,2
football,UEFA Champions League,20260128,Over-Under,Lost,1.62,Match Finished,3
football,UEFA Champions League,20260128,Over-Under,Lost,1.91,Match Finished,1
football,UEFA Champions League,20260128,Moneyline,Lost,1.28,Match Finished,2
football,UEFA Champions League,20260128,BTTS,Lost,1.67,Match Finished,2
football,UEFA Champions League,20260128,BTTS,Won,1.4,Match Finished,2
football,UEFA Champions League,20260128,Moneyline,Won,1.65,Match Finished,3
football,UEFA Champions League,20260128,BTTS,Won,1.66,Match Finished,2
football,UEFA Champions League,20260128,Draw No Bet,Lost,2.1,Match Finished,2
football,UEFA Champions League,20260128,Moneyline,,1.53,Match Finished,3
football,UEFA Champions League,20260128,Over-Under,Won,1.44,Match Finished,1
football,UEFA Champions League,20260128,Moneyline,Won,1.11,Match Finished,2
football,UEFA Champions League,20260128,Over-Under,Won,1.22,Match Finished,2
football,UEFA Champions League,20260128,Moneyline,Lost,1.8,Match Finished,1
football,UEFA Champions League,20260128,Draw No Bet,Lost,1.8,Match Finished,1
football,Brasileirão Série A,20260128,Moneyline,Lost,2.4,Match Finished,1
football,Brasileirão Série A,20260128,Draw No Bet,Lost,1.7,Match Finished,2
football,Brasileirão Série A,20260128,Moneyline,Lost,2.2,Match Finished,3
football,Brasileirão Série A,20260128,Over-Under,Won,1.62,Match Finished,2
football,Brasileirão Série A,20260128,BTTS,Won,2.1,Match Finished,2
football,Brasileirão Série A,20260128,BTTS,Lost,2.0,Match Finished,2
football,Brasileirão Série A,20260128,Over-Under,Won,1.25,Match Finished,2
football,UEFA Europa League,20260129,Moneyline,Won,1.27,Match Finished,1
football,UEFA Europa League,20260129,Moneyline,Won,1.33,Match Finished,1
football,UEFA Europa League,20260129,Over-Under,Lost,1.67,Match Finished,1
football,UEFA Europa League,20260129,Moneyline,Lost,1.8,Match Finished,2
football,UEFA Europa League,20260129,Draw No Bet,Won,1.42,Match Finished,1
football,UEFA Europa League,20260129,Draw No Bet,Push,1.27,Match Finished,3
football,UEFA Europa League,20260129,BTTS,Won,1.67,Match Finished,3
football,UEFA Europa League,20260129,Moneyline,Won,1.55,Match Finished,1
football,UEFA Europa League,20260129,BTTS,Lost,1.62,Match Finished,3
football,UEFA Europa League,20260129,Over-Under,Won,1.8,Match Finished,3
football,UEFA Europa League,20260129,Moneyline,Won,1.5,Match Finished,2
football,UEFA Europa League,20260129,Over-Under,Lost,1.66,Match Finished,2
football,UEFA Europa League,20260129,Over-Under,Won,1.57,Match Finished,1
football,UEFA Europa League,20260129,Moneyline,Won,1.33,Match Finished,1
football,UEFA Europa League,20260129,Over-Under,Won,1.28,Match Finished,2
football,UEFA Europa League,20260129,Draw No Bet,Won,1.36,Match Finished,3
football,UEFA Europa League,20260129,Draw No Bet,Won,1.33,Match Finished,3
football,UEFA Europa League,20260129,BTTS,Lost,1.95,Match Finished,2
football,Brasileirão Série A,20260129,Draw No Bet,Won,1.72,Match Finished,1
football,Brasileirão Série A,20260129,Over-Under,Won,1.33,Match Finished,3
football,Ligue 1,20260130,Moneyline,Won,1.42,Match Finished,3
football,Serie A,20260130,Over-Under,Lost,1.14,Match Finished,1
football,La Liga,20260130,Draw No Bet,Lost,1.35,Match Finished,1
football,Primeira Liga,20260130,BTTS,Lost,2.0,Match Finished,2
football,Eredivisie,20260130,Moneyline,Lost,1.91,Match Finished,1
football,Bundesliga,20260130,Over-Under,Lost,1.62,Match Finished,2
football,Premier League,20260131,Over-Under,Won,1.91,Match Finished,2
football,Premier League,20260131,BTTS,Won,1.62,Match Finished,1
football,Premier League,20260131,Moneyline,Won,1.53,Match Finished,3
football,Premier League,20260131,BTTS,Won,1.53,Match Finished,3
football,Premier League,20260131,Over-Under,Lost,1.91,Match Finished,3
football,Ligue 1,20260131,Moneyline,Won,1.85,Match Finished,1
football,Ligue 1,20260131,Draw No Bet,Lost,2.6,Match Finished,3
