match_date,requested_date,market,home_team,away_team,match_name,league_short,pick,settled,correct,score_home,score_away,odds_home,odds_draw,odds_away,odds_over,odds_under,pick_odds
2026-05-25,2026-05-25,1x2,San Martín Tucumán,CA Atlanta,San Martín Tucumán vs CA Atlanta,Ar2,X,True,False,0,1,1.91,2.9,5.0,,,2.9
2026-05-25,2026-05-25,1x2,Universidad Católica,Colo Colo,Universidad Católica vs Colo Colo,Cl1,2,True,True,1,2,2.4,3.25,2.9,,,2.9
2026-05-25,2026-05-25,1x2,Avai FC,Goiás,Avai FC vs Goiás,Br2,1,True,False,0,2,2.25,3.1,3.4,,,2.25
2026-05-25,2026-05-25,1x2,Volta Redonda,Ypiranga RS,Volta Redonda vs Ypiranga RS,Br3,1,True,True,2,1,1.85,3.1,3.8,,,1.85
2026-05-25,2026-05-25,1x2,Montego Bay Utd,Mount Pleasant,Montego Bay Utd vs Mount Pleasant,Jm,2,True,True,2,3,2.55,3.0,2.55,,,2.55
2026-05-25,2026-05-25,1x2,Estrella,River Plate,Estrella vs River Plate,Aw1,1,True,False,1,5,,,,,,
2026-05-25,2026-05-25,1x2,Paradise,Brittons Hill,Paradise vs Brittons Hill,Bb1,2,True,True,0,1,1.5,4.2,4.75,,,4.75
2026-05-25,2026-05-25,1x2,Cibao FC,Salcedo,Cibao FC vs Salcedo,Do1,1,True,True,2,1,1.66,3.4,4.5,,,1.66
2026-05-25,2026-05-25,1x2,Louisville City 2,Toledo Villa,Louisville City 2 vs Toledo Villa,Us4,X,True,False,6,0,,,,,,
2026-05-25,2026-05-25,1x2,Staten Island Athletic,FC Motown II,Staten Island Athletic vs FC Motown II,Us4,2,True,True,1,3,11.0,7.0,1.16,,,1.16
2026-05-25,2026-05-25,1x2,Paraguari,Benjamín Aceval,Paraguari vs Benjamín Aceval,Py2,2,True,True,1,2,2.4,3.0,2.8,,,2.8
2026-05-25,2026-05-25,1x2,Inter Miami CF,Philadelphia Union,Inter Miami CF vs Philadelphia Union,Us1,1,True,True,6,4,1.36,5.5,7.5,,,1.36
