slug,name,active,football_only,month,tips,win,lose,void,averageOdds,staked,profit,levelStakeProfit,levelStakeROI,winPercentage
star-tips,star tips,False,True,2026-06,47,14,33,0,2.979574,47,-4.825,-4.825,-10.27,30
star-tips,star tips,False,True,2026-05,95,30,65,0,2.925684,95,-5.975,-5.975,-6.29,32
star-tips,star tips,False,True,2026-04,50,22,28,0,2.8454,50,13.575,13.575,27.15,44
star-tips,star tips,False,True,2026-03,50,29,21,0,3.0398,50,35.908,35.908,71.82,58
star-tips,star tips,False,True,2026-02,74,26,48,0,2.461891,74,-9.125,-9.125,-12.33,35
star-tips,star tips,False,True,2026-01,107,35,72,0,2.510934,107,-19.6,-19.6,-18.32,33
star-tips,star tips,False,True,2025-12,74,35,39,0,2.507027,74,14.15,14.15,19.12,47
star-tips,star tips,False,True,2025-11,105,39,66,0,2.51419,105,-7.775,-7.775,-7.4,37
star-tips,star tips,False,True,2025-10,76,24,52,0,2.535921,76,-13.545,-13.545,-17.82,32
star-tips,star tips,False,True,2025-09,59,23,36,0,2.992372,59,3.71,3.71,6.29,39
star-tips,star tips,False,True,2025-08,100,32,68,0,2.7811,100,-12.36,-12.36,-12.36,32
star-tips,star tips,False,True,2025-07,108,43,65,0,2.714907,108,9.39,9.39,8.69,40
star-tips,star tips,False,True,2025-06,82,35,47,0,2.664024,82,8.68,8.68,10.59,43
star-tips,star tips,False,True,2025-05,104,39,65,0,2.525192,104,-8.29,-8.29,-7.97,38
star-tips,star tips,False,True,2025-04,69,26,43,0,2.511159,69,-6.08,-6.08,-8.81,38
star-tips,star tips,False,True,2025-03,67,28,39,0,2.471791,67,2.88,2.88,4.3,42
star-tips,star tips,False,True,2025-02,39,19,20,0,2.503333,39,8.76,8.76,22.46,49
star-tips,star tips,False,True,2025-01,28,12,16,0,2.575357,28,3.84,3.84,13.71,43
star-tips,star tips,False,True,2024-12,47,21,26,0,2.472553,47,5.72,5.72,12.17,45
star-tips,star tips,False,True,2024-11,58,26,32,0,2.541724,58,6.67,6.67,11.5,45
star-tips,star tips,False,True,2024-10,53,13,40,0,2.696037,53,-17.2,-17.2,-32.45,25
star-tips,star tips,False,True,2024-09,45,19,26,0,2.602444,45,2.92,2.92,6.49,42
star-tips,star tips,False,True,2024-08,75,31,44,0,2.662,75,4.56,4.56,6.08,41
star-tips,star tips,False,True,2024-07,80,24,56,0,2.778,80,-14.89,-14.89,-18.61,30
star-tips,star tips,False,True,2024-06,78,31,47,0,2.873974,78,7.93,7.93,10.17,40
star-tips,star tips,False,True,2024-05,110,47,63,0,2.671909,110,14.22,14.22,12.93,43
star-tips,star tips,False,True,2024-04,51,24,27,0,2.63647,51,10.77,10.77,21.12,47
