kickoff_date,home_team,away_team,league_forebet,league_ours,selection,final_score,actually_won,forebet_says_won,forebet_odds,our_odds_median,our_odds_max,our_odds_last_any_book,our_odds_pinnacle_close,snapshot_count,book_count,delta_fb_vs_pinnacle,delta_fb_vs_our_max
2026-05-25,San Luis Quillota,CD Magallanes,Cl2,Primera B,under,2-1,False,False,1.77,1.95,2.95,1.95,2.01,200,12,-0.24,-1.18
2026-05-25,UNAM Pumas,Cruz Azul,Mx1,Liga MX,over,1-2,True,True,1.77,2.0,2.85,1.95,2.08,26,13,-0.31,-1.08
2026-05-26,SD Aucas,Manta FC,Ec1,Liga Pro,under,3-1,False,False,2.02,1.75,1.8,1.7,1.79,205,13,0.23,0.22
2026-05-26,Deportes Copiapó,Unión Española,Cl2,Primera B,over,3-1,True,True,1.8,1.91,2.0,1.91,1.93,205,13,-0.13,-0.2
2026-05-26,Chernihiv,Metalist Kharkov,Ua2,Persha Liga,under,1-2,False,False,2.2,1.625,1.625,1.625,,2,1,,0.575
2026-05-26,Pamba Jiji,Tanzania Prisons,Tz1,Ligi kuu Bara,under,2-3,False,False,2.27,1.5,1.56,1.5,1.48,16,8,0.79,0.71
2026-05-26,Singida Black Stars,Mbeya City,Tz1,Ligi kuu Bara,over,4-1,True,True,1.93,1.74,1.75,1.73,1.74,9,9,0.19,0.18
2026-05-26,Ararat Yerevan,BKMA Yerevan,Am1,Premier League,under,1-1,True,True,1.8,1.94,2.08,1.95,2.0,18,9,-0.2,-0.28
2026-05-26,Alashkert,Shirak FC,Am1,Premier League,under,2-0,True,True,1.8,2.08,3.075,2.19,2.18,24,12,-0.38,-1.275
2026-05-27,Flamengo,Cusco FC,CLA,CONMEBOL Libertadores,under,3-0,False,False,1.35,2.97,3.5,3.4,3.47,24,12,-2.12,-2.15
2026-05-27,Nacional (URU),Coquimbo Unido,CLA,CONMEBOL Libertadores,under,1-0,True,True,2.0,1.8,2.025,1.83,1.84,28,13,0.16,-0.025
2026-05-27,Universitario,Deportes Tolima,CLA,CONMEBOL Libertadores,under,0-0,True,True,2.45,1.53,1.58,1.53,1.58,188,12,0.87,0.87
2026-05-27,San Lorenzo,Deportivo Recoleta,CS,CONMEBOL Sudamericana,under,0-1,True,True,2.1,1.75,2.15,1.78,1.78,190,13,0.32,-0.05
2026-05-27,Santos,Deportivo Cuenca,CS,CONMEBOL Sudamericana,under,3-0,False,False,1.83,1.95,2.425,1.95,2.03,206,13,-0.2,-0.595
2026-05-27,Gumi Sportstoto W,Gyeongju W,KrW,WK-League,over,2-4,True,True,1.55,2.08,2.15,2.1,,18,9,,-0.6
2026-05-27,Seoul W,Incheon Red Angels W,KrW,WK-League,over,2-1,True,True,1.77,1.89,2.0,1.93,,16,8,,-0.23
2026-05-27,Davao Aguilas,Taguig,Ph1,PFL,under,1-1,True,True,1.55,2.21,2.88,2.08,2.08,12,6,-0.53,-1.33
