source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
deepbetting,2026-05-04,Premier League,,,over_under_25,,1.730,won,0.7300,https://deepbetting.io/dashboard/
deepbetting,2026-05-04,Premier League,,,1x2,,1.480,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-04,Primeira Liga,,,1x2,,1.270,won,0.2700,https://deepbetting.io/dashboard/
deepbetting,2026-05-04,Allsvenskan,,,over_under_25,,2.000,won,1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-04,Allsvenskan,,,over_under_25,,1.800,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-05,UEFA Champions League,,,1x2,,1.600,won,0.6000,https://deepbetting.io/dashboard/
deepbetting,2026-05-06,UEFA Champions League,,,1x2,,1.620,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-07,UEFA Europa League,,,1x2,,1.650,won,0.6500,https://deepbetting.io/dashboard/
deepbetting,2026-05-07,UEFA Europa Conference League,,,over_under_25,,1.730,won,0.7300,https://deepbetting.io/dashboard/
deepbetting,2026-05-08,Ligue 1,,,1x2,,1.440,won,0.4400,https://deepbetting.io/dashboard/
deepbetting,2026-05-08,Bundesliga,,,1x2,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-05-08,Allsvenskan,,,over_under_25,,1.900,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Premier League,,,over_under_25,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Premier League,,,1x2,,1.910,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Premier League,,,over_under_25,,1.380,won,0.3800,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Premier League,,,1x2,,1.950,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Serie A,,,over_under_25,,1.250,won,0.2500,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Serie A,,,1x2,,1.400,won,0.4000,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,La Liga,,,1x2,,2.150,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,La Liga,,,1x2,,2.050,won,1.0500,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Bundesliga,,,over_under_25,,1.360,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Bundesliga,,,1x2,,1.300,won,0.3000,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Brasileirão Série A,,,over_under_25,,1.650,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Allsvenskan,,,1x2,,1.620,won,0.6200,https://deepbetting.io/dashboard/
deepbetting,2026-05-09,Allsvenskan,,,over_under_25,,1.900,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Brasileirão Série A,,,1x2,,2.100,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Premier League,,,1x2,,1.620,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Premier League,,,over_under_25,,1.910,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Premier League,,,1x2,,1.550,won,0.5500,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Ligue 1,,,over_under_25,,1.350,won,0.3500,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Ligue 1,,,over_under_25,,1.670,won,0.6700,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Ligue 1,,,over_under_25,,1.620,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Ligue 1,,,1x2,,1.180,won,0.1800,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Serie A,,,over_under_25,,2.000,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Serie A,,,1x2,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Serie A,,,1x2,,1.380,won,0.3800,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,La Liga,,,1x2,,1.670,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,La Liga,,,1x2,,1.620,won,0.6200,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,La Liga,,,over_under_25,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Primeira Liga,,,1x2,,1.190,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Eredivisie,,,over_under_25,,1.400,won,0.4000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Eredivisie,,,1x2,,1.730,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Eredivisie,,,over_under_25,,1.400,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Eredivisie,,,over_under_25,,1.730,won,0.7300,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Eredivisie,,,1x2,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Eredivisie,,,1x2,,1.360,won,0.3600,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Bundesliga,,,over_under_25,,1.440,won,0.4400,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Brasileirão Série A,,,over_under_25,,1.530,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Brasileirão Série A,,,over_under_25,,1.700,won,0.7000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Brasileirão Série A,,,1x2,,1.800,won,0.8000,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Allsvenskan,,,over_under_25,,1.670,won,0.6700,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Eliteserien,,,1x2,,2.750,won,1.7500,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Eliteserien,,,1x2,,1.570,won,0.5700,https://deepbetting.io/dashboard/
deepbetting,2026-05-10,Eliteserien,,,over_under_25,,1.850,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-11,Primeira Liga,,,1x2,,1.420,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-11,Primeira Liga,,,1x2,,1.950,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-11,Primeira Liga,,,over_under_25,,1.400,won,0.4000,https://deepbetting.io/dashboard/
deepbetting,2026-05-11,Primeira Liga,,,over_under_25,,1.800,won,0.8000,https://deepbetting.io/dashboard/
deepbetting,2026-05-11,Primeira Liga,,,1x2,,1.730,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-11,Allsvenskan,,,over_under_25,,1.360,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-12,La Liga,,,over_under_25,,1.670,won,0.6700,https://deepbetting.io/dashboard/
deepbetting,2026-05-12,La Liga,,,1x2,,1.750,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-13,Premier League,,,1x2,,1.200,won,0.2000,https://deepbetting.io/dashboard/
deepbetting,2026-05-13,La Liga,,,over_under_25,,1.500,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-13,La Liga,,,over_under_25,,1.250,won,0.2500,https://deepbetting.io/dashboard/
deepbetting,2026-05-13,La Liga,,,1x2,,2.050,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-14,La Liga,,,1x2,,1.270,won,0.2700,https://deepbetting.io/dashboard/
deepbetting,2026-05-14,La Liga,,,over_under_25,,1.730,won,0.7300,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Bundesliga,,,over_under_25,,1.730,won,0.7300,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Brasileirão Série A,,,1x2,,2.100,won,1.1000,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Brasileirão Série A,,,1x2,,1.900,won,0.9000,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Allsvenskan,,,1x2,,1.650,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Eliteserien,,,over_under_25,,1.480,won,0.4800,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Eliteserien,,,over_under_25,,1.660,won,0.6600,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Eliteserien,,,1x2,,1.450,won,0.4500,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Primeira Liga,,,over_under_25,,1.950,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Primeira Liga,,,1x2,,1.650,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Primeira Liga,,,1x2,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Primeira Liga,,,1x2,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Bundesliga,,,1x2,,1.250,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Bundesliga,,,over_under_25,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-05-16,Bundesliga,,,over_under_25,,1.440,won,0.4400,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Brasileirão Série A,,,1x2,,1.700,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Premier League,,,1x2,,1.620,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Premier League,,,1x2,,1.830,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-05-17,Premier League,,,over_under_25,,1.530,won,0.5300,https://deepbetting.io/dashboard/
