source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
oddsintel,2026-05-04,Liga I,Unirea Slobozia,AFC Hermannstadt,1x2,home,3.350,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-04,First Division,Finn Harps,Bray Wanderers,1x2,home,3.250,won,2.2500,https://oddsintel.app/picks
oddsintel,2026-05-04,Premier League,Ruh Lviv,Zorya Luhansk,1x2,home,4.500,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-04,Serie A,Cremonese,Lazio,1x2,home,3.150,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-06,J2 League,Tochigi City,Yokohama FC,1x2,home,3.400,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-06,First League,Spartak Varna,Dobrudzha,1x2,home,3.300,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,CONMEBOL Sudamericana,Carabobo FC,River Plate,1x2,home,4.400,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,CONMEBOL Sudamericana,Carabobo FC,River Plate,1x2,home,4.400,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,CONMEBOL Libertadores,Independiente Medellin,Flamengo,1x2,home,4.700,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Liga MX Femenil,Toluca (W),América W,1x2,home,4.160,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Liga MX Femenil,Toluca (W),América W,1x2,home,4.160,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,New South Wales NPL 2,Prospect United,Bankstown City Lions,1x2,home,3.600,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,New South Wales NPL 2,Prospect United,Bankstown City Lions,1x2,home,3.600,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,South Australia State League 1,Eastern United,Fulham United,1x2,home,5.000,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Victoria NPL 2,Brunswick Juventus FC,Northcote City,1x2,home,3.050,won,2.0500,https://oddsintel.app/picks
oddsintel,2026-05-08,Victoria NPL 2,Brunswick Juventus FC,Northcote City,1x2,home,3.050,won,2.0500,https://oddsintel.app/picks
oddsintel,2026-05-08,South Australia NPL,West Torrens Birkalla,Playford City Patriots,1x2,home,2.830,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Premyer Liqa,Imisli FK,Zira,1x2,home,4.200,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Premyer Liqa,Imisli FK,Zira,1x2,home,4.200,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,2. Liga,Austria Salzburg,Austria Lustenau,1x2,home,3.850,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,2. Bundesliga,1. FC Kaiserslautern,Arminia Bielefeld,1x2,home,3.320,won,2.3200,https://oddsintel.app/picks
oddsintel,2026-05-08,2. Bundesliga,1. FC Kaiserslautern,Arminia Bielefeld,1x2,home,3.320,won,2.3200,https://oddsintel.app/picks
oddsintel,2026-05-08,Segunda División,Cadiz,Deportivo La Coruña,1x2,home,4.020,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Segunda División,Cadiz,Deportivo La Coruña,1x2,home,4.020,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Serie B,Reggiana,Sampdoria,1x2,home,3.650,won,2.6500,https://oddsintel.app/picks
oddsintel,2026-05-08,Serie B,Reggiana,Sampdoria,1x2,home,3.650,won,2.6500,https://oddsintel.app/picks
oddsintel,2026-05-08,Serie B,Catanzaro,Bari,1x2,home,2.830,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Premier Division,Drogheda United,Derry City,1x2,home,3.400,won,2.4000,https://oddsintel.app/picks
oddsintel,2026-05-08,Premier Division,Drogheda United,Derry City,1x2,home,3.400,won,2.4000,https://oddsintel.app/picks
oddsintel,2026-05-08,Premier Division,Galway United,Shamrock Rovers,1x2,home,3.920,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Premier Division,Galway United,Shamrock Rovers,1x2,home,3.920,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Championship,Hull City,Millwall,1x2,home,3.150,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Championship,Hull City,Millwall,1x2,home,3.150,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-08,Primera División,Wanderers,Liverpool Montevideo,1x2,home,3.450,won,2.4500,https://oddsintel.app/picks
oddsintel,2026-05-08,Primera División,Wanderers,Liverpool Montevideo,1x2,home,3.450,won,2.4500,https://oddsintel.app/picks
oddsintel,2026-05-09,Ligue 2,Clermont Foot,Guingamp,1x2,home,3.150,won,2.1500,https://oddsintel.app/picks
oddsintel,2026-05-09,Ligue 2,Nancy,Dunkerque,1x2,home,2.900,won,1.9000,https://oddsintel.app/picks
oddsintel,2026-05-09,Ligue 2,Reims,Pau,over_under_25,under 2.5,2.700,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-09,Jupiler Pro League,RAAL La Louvière,Cercle Brugge,1x2,home,3.220,won,2.2200,https://oddsintel.app/picks
oddsintel,2026-05-09,Premier League,Liverpool,Chelsea,over_under_25,under 2.5,3.000,won,2.0000,https://oddsintel.app/picks
oddsintel,2026-05-09,I Liga,Stal Mielec,Puszcza Niepołomice,over_under_25,over 2.5,1.870,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-09,Serie A,Lecce,Juventus,over_under_25,under 2.5,2.230,won,1.2300,https://oddsintel.app/picks
oddsintel,2026-05-09,Ligue 2,Clermont Foot,Guingamp,1x2,home,3.150,won,2.1500,https://oddsintel.app/picks
oddsintel,2026-05-13,Suomen Cup,Turku PS,HJS Akatemia,over_under_25,under 2.5,3.800,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-13,Cup,Throttur Reykjavik,Breidablik,1x2,home,4.400,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-13,La Liga,Alaves,Barcelona,over_under_25,under 2.5,2.650,won,1.6500,https://oddsintel.app/picks
oddsintel,2026-05-13,Cup,FK Crvena Zvezda,Vojvodina,over_under_25,under 2.5,2.620,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-13,Eerste Divisie,Almere City FC,Willem II,over_under_25,under 2.5,2.270,won,1.2700,https://oddsintel.app/picks
oddsintel,2026-05-15,Ligue 3,Dijon,Orleans,over_under_25,under 2.5,2.300,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-16,FA WSL,Chelsea W,Manchester United (W),over_under_25,under 2.5,2.200,won,1.2000,https://oddsintel.app/picks
oddsintel,2026-05-16,3. Liga,SSV Ulm 1846,Rot-Weiß Essen,over_under_25,under 2.5,3.000,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-16,FA Cup,Chelsea,Manchester City,over_under_25,under 2.5,2.110,won,1.1100,https://oddsintel.app/picks
oddsintel,2026-05-16,Serie B,Juve Stabia,Monza,1x2,home,4.050,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-16,Super League Women,Zulte-Waregem W,Westerlo (W),over_under_25,over 2.5,1.700,won,0.7000,https://oddsintel.app/picks
oddsintel,2026-05-17,Serie A,Inter,Hellas Verona,over_under_25,under 2.5,2.620,won,1.6200,https://oddsintel.app/picks
oddsintel,2026-05-17,Premiership,Dundee,Aberdeen,over_under_25,over 2.5,1.800,won,0.8000,https://oddsintel.app/picks
oddsintel,2026-05-17,2. Bundesliga,Hannover 96,1. FC Nürnberg,over_under_25,under 2.5,2.830,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-17,Ligue 1,Nice,Metz,over_under_25,over 2.5,1.570,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-17,Úrvalsdeild,KR Reykjavík,Fram Reykjavík,over_under_25,under 2.5,4.330,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-17,1st Division,Baroka FC,Upington City,1x2,home,3.750,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-18,First League,Montana,Spartak Varna,over_under_25,under 2.5,2.200,won,1.2000,https://oddsintel.app/picks
oddsintel,2026-05-18,Premier Division,Waterford,Drogheda United,over_under_25,under 2.5,1.960,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-19,Ligue 2,Rouen,Laval,over_under_25,over 2.5,2.200,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-21,Pro League,Al-Ittihad FC,Al-Qadisiyah FC,over_under_25,under 2.5,2.700,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-22,Victoria Premier League 2,Kingston City,Werribee City,over_under_25,under 2.5,2.620,won,1.6200,https://oddsintel.app/picks
oddsintel,2026-05-22,Eredivisie Women,Twente W,PSV/Eindhoven W,over_under_25,over 2.5,1.860,won,0.8600,https://oddsintel.app/picks
oddsintel,2026-05-22,III Liga - Group 3,Zagłębie Lubin II,Miedź Legnica II,over_under_25,under 2.5,2.750,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-22,Premier Division,Shamrock Rovers,Sligo Rovers,over_under_25,under 2.5,2.120,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-22,Super League Women,Genk (W),Zulte-Waregem W,1x2,home,3.000,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-22,Premier Division,Galway United,Bohemians,1x2,home,3.910,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-22,Veikkausliiga,VPS,HJK Helsinki,1x2,home,3.890,won,2.8900,https://oddsintel.app/picks
oddsintel,2026-05-23,Superettan,Falkenbergs FF,IFK Varnamo,over_under_25,over 2.5,1.830,won,0.8300,https://oddsintel.app/picks
oddsintel,2026-05-23,Western Australia State League 1,Joondalup City,Inglewood United,over_under_25,under 2.5,2.500,won,1.5000,https://oddsintel.app/picks
oddsintel,2026-05-23,K League 2,Gyeongnam FC,Suwon City FC,1x2,home,3.750,won,2.7500,https://oddsintel.app/picks
oddsintel,2026-05-23,K League 2,Gyeongnam FC,Suwon City FC,1x2,home,3.750,won,2.7500,https://oddsintel.app/picks
oddsintel,2026-05-23,Jupiler Pro League,Standard Liege,Charleroi,over_under_25,under 2.5,1.940,won,0.9400,https://oddsintel.app/picks
oddsintel,2026-05-23,La Liga,Mallorca,Oviedo,over_under_25,under 2.5,1.970,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-23,Primera División,Portuguesa FC,Deportivo La Guaira,over_under_25,over 2.5,2.410,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-23,Super Liga,FK Partizan,Radnik Surdulica,over_under_25,over 2.5,1.870,won,0.8700,https://oddsintel.app/picks
oddsintel,2026-05-23,Championship,Hull City,Middlesbrough,over_under_25,under 2.5,1.760,won,0.7600,https://oddsintel.app/picks
oddsintel,2026-05-23,Campionato Primavera - 2,Venezia U19,Padova U19,over_under_25,under 2.5,2.380,won,1.3800,https://oddsintel.app/picks
oddsintel,2026-05-23,Frauenliga,Kleinmünchen / BW Linz W,Rheindorf Altach W,over_under_25,under 2.5,2.500,won,1.5000,https://oddsintel.app/picks
oddsintel,2026-05-23,La Liga,Valencia,Barcelona,1x2,home,3.650,won,2.6500,https://oddsintel.app/picks
oddsintel,2026-05-24,Serie A,Torino,Juventus,over_under_25,under 2.5,2.100,lost,-1.0000,https://oddsintel.app/picks
oddsintel,2026-05-24,Segunda División,FC Andorra,AD Ceuta FC,over_under_25,under 2.5,2.620,won,1.6200,https://oddsintel.app/picks
