source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
tipstrr,2026-08-01,star-tips,,,pooled_all_types,monthly_bucket_91_tips,2.950,42W-49L,0.3407,https://tipstrr.com/tipster/star-tips/stats
tipstrr,2026-07-01,star-tips,,,pooled_all_types,monthly_bucket_81_tips,3.138,28W-53L,0.0630,https://tipstrr.com/tipster/star-tips/stats
tipstrr,2026-06-01,star-tips,,,pooled_all_types,monthly_bucket_69_tips,3.001,20W-49L,-0.1431,https://tipstrr.com/tipster/star-tips/stats
tipstrr,2026-05-01,star-tips,,,pooled_all_types,monthly_bucket_95_tips,2.926,30W-65L,-0.0629,https://tipstrr.com/tipster/star-tips/stats
tipstrr,2026-08-01,mls-value,,,pooled_all_types,monthly_bucket_24_tips,2.112,9W-15L,-0.2643,https://tipstrr.com/tipster/mls-value/stats
tipstrr,2026-07-01,mls-value,,,pooled_all_types,monthly_bucket_15_tips,2.145,3W-10L,-0.3668,https://tipstrr.com/tipster/mls-value/stats
tipstrr,2026-06-01,mls-value,,,pooled_all_types,monthly_bucket_19_tips,2.002,9W-7L,0.1453,https://tipstrr.com/tipster/mls-value/stats
tipstrr,2026-05-01,mls-value,,,pooled_all_types,monthly_bucket_17_tips,2.116,4W-13L,-0.4806,https://tipstrr.com/tipster/mls-value/stats
tipstrr,2026-08-01,main-draws-model-top-euros,,,pooled_all_types,monthly_bucket_4_tips,3.748,1W-3L,-0.1050,https://tipstrr.com/tipster/main-draws-model-top-euros/stats
tipstrr,2026-05-01,main-draws-model-top-euros,,,pooled_all_types,monthly_bucket_39_tips,4.237,11W-28L,0.1077,https://tipstrr.com/tipster/main-draws-model-top-euros/stats
