source,kickoff_date,home_team,away_team,league,market,selection,final_score,won,published_odds,pinnacle_close_odds,pnl_published,pnl_pinnacle,dropped_reason
oddsintel,2026-05-04,Unirea Slobozia,AFC Hermannstadt,Liga I,1x2,home,2-2,False,3.35,3.18,-1,-1,
oddsintel,2026-05-04,Finn Harps,Bray Wanderers,First Division,1x2,home,2-1,True,3.25,2.87,2.25,1.87,
oddsintel,2026-05-04,Ruh Lviv,Zorya Luhansk,Premier League,1x2,home,1-2,False,4.5,3.73,-1,-1,
oddsintel,2026-05-04,Cremonese,Lazio,Serie A,1x2,home,1-2,False,3.15,3.21,-1,-1,
oddsintel,2026-05-06,Tochigi City,Yokohama FC,J2 League,1x2,home,2-2,False,3.4,3.19,-1,-1,
oddsintel,2026-05-06,Spartak Varna,Dobrudzha,First League,1x2,home,1-1,False,3.3,3.4,-1,-1,
oddsintel,2026-05-08,Carabobo FC,River Plate,CONMEBOL Sudamericana,1x2,home,1-2,False,4.4,4.18,-1,-1,
oddsintel,2026-05-08,Carabobo FC,River Plate,CONMEBOL Sudamericana,1x2,home,1-2,False,4.4,4.18,-1,-1,
oddsintel,2026-05-08,Independiente Medellin,Flamengo,CONMEBOL Libertadores,1x2,home,0-0,False,4.7,4.43,-1,-1,
oddsintel,2026-05-08,Toluca (W),América W,Liga MX Femenil,1x2,home,1-7,False,4.16,3.97,-1,-1,
oddsintel,2026-05-08,Toluca (W),América W,Liga MX Femenil,1x2,home,1-7,False,4.16,3.97,-1,-1,
oddsintel,2026-05-08,Prospect United,Bankstown City Lions,New South Wales NPL 2,1x2,home,0-1,False,3.6,2.81,-1,-1,
oddsintel,2026-05-08,Prospect United,Bankstown City Lions,New South Wales NPL 2,1x2,home,0-1,False,3.6,2.81,-1,-1,
oddsintel,2026-05-08,Eastern United,Fulham United,South Australia State League 1,1x2,home,0-0,False,5.0,4.37,-1,-1,
oddsintel,2026-05-08,Brunswick Juventus FC,Northcote City,Victoria NPL 2,1x2,home,1-0,True,3.05,2.49,2.05,1.4900000000000002,
