cb_league_id,cb_name_en,cb_name_et,cb_country_slug,cb_full_slug,cb_country_canonical,af_db_league_id,af_name,af_country,af_matches_30d,af_bets_30d,match_score,confidence,review_note,country_restricted,debug
19128,UEFA Champions League,UEFA Meistrite Liiga,europe,football/europe/uefa-champions-league,World,1bb28d8a-8b00-436b-aef7-7ba9c86dcc3f,UEFA Champions League,World,4,0,1.000,high,,yes,manual override
18975,Premier League,Premier League,england,football/england/premier-league,England,73c57213-6829-4c04-b5aa-04db792b98e8,Premier League,England,42,26,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19104,La Liga,La Liga,spain,football/spain/la-liga,Spain,0cfb91ae-0f59-4278-8229-ef92118960c3,La Liga,Spain,60,42,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18994,Serie A,Serie A,italy,football/italy/serie-a,Italy,fc8d465e-202a-48d4-9ef3-512e84f854d9,Serie A,Italy,41,24,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19129,UEFA Europa League,UEFA Euroopa Liiga,europe,football/europe/uefa-europa-league,World,627937cc-6c56-482d-a769-a8d83c9fcacf,UEFA Europa League,World,5,1,1.000,high,,yes,manual override
60740,UEFA Europa Conference League,UEFA Konverentsiliiga,europe,football/europe/UEFA-Europa-Conference-League,World,c94f1f6a-dfd1-4545-9ae3-21893aab7a8a,UEFA Europa Conference League,World,4,1,1.000,high,,yes,manual override
19932,UEFA Women's Champions League,UEFA Meistrite Liiga - Naised,europe,football/europe/uefa-womens-champions-league,World,41efc4a2-51eb-4644-b070-35546dc3836a,UEFA Champions League Women,World,1,0,1.000,high,,yes,manual override
46803,World Cup Matches,MM Mängud,world-cup,football/world-cup/matches,World,99aa3400-ee95-43c0-afde-089dca041978,Friendlies,World,11,1,1.000,high,AF has no World Cup row; mapped to Friendlies as international-bucket fallback,yes,manual override
19050,Eliteserien,Eliteserien,norway,football/norway/eliteserien,Norway,554a5bf1-c4c1-4e95-92b1-c7d85866e7ef,Eliteserien,Norway,27,10,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19111,Allsvenskan,Allsvenskan,sweden,football/sweden/allsvenskan,Sweden,db440d96-9150-4717-8f18-e77512896e5d,Allsvenskan,Sweden,31,6,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18880,Veikkausliiga,Veikkausliiga,finland,football/finland/veikkausliiga,Finland,1064838b-66cb-4df0-8968-1fbce77303b7,Veikkausliiga,Finland,21,1,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18925,Premium Liiga,Premium Liiga,estonia,football/estonia/premium-liiga,Estonia,5618df61-a734-44d9-bdcb-728b6cb735ea,Meistriliiga,Estonia,18,4,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19901,Icelandic Premier League,Icelandic Premier League,iceland,football/iceland/besta-deild-men,Iceland,6e619cd9-b9d7-4bd7-9956-6e440e63e474,Úrvalsdeild,Iceland,24,13,1.000,high,,yes,manual override
19091,Premier League,Premier League,ukraine,football/ukraine/premier-league,Ukraine,75f4f1d0-4441-4094-b07c-c1ec093856fa,Premier League,Ukraine,43,9,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18970,Superliga,Superliga (Denmark),denmark,football/denmark/superliga,Denmark,977b3b8c-d0e9-47cf-ab2c-a51432ba4e52,Superliga,Denmark,32,7,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18875,1. Liga,1. Liga,czech-republic,football/czech-republic/1-liga,Czech-Republic,c32f7c72-ae2f-45d0-bf62-695fa70eb6d3,1. Liga U19,Czech-Republic,24,1,0.900,high,,yes,sim=0.75 tok=0.67 contain=0.15
19054,Super League,Super League (Greece),greece,football/greece/super-league-greece,Greece,69dccc79-b4a0-4f06-99b4-4c0044498cef,Super League 1,Greece,37,31,1.073,high,,yes,sim=0.92 tok=0.67 contain=0.15
18882,A-League,A-League,australia,football/australia/a-league,Australia,c336f599-9667-48ae-94c0-35cd10bfb816,A-League,Australia,12,1,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18974,Liga Pro,Liga Pro,ecuador,football/ecuador/liga-pro,Ecuador,96a5b809-969b-4c61-bb0e-6e062103b5fd,Liga Pro,Ecuador,26,0,1.000,high,,yes,manual override
18884,Super League,Super League (China),china,football/china/chinese-super-league,China,8af1c49f-ac66-4c2b-a429-23ab7ac1147b,Super League,China,40,2,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18892,Saudi Pro League,Saudi Pro League,saudi-arabia,football/saudi-arabia/saudi-professional-league,Saudi-Arabia,ea2f6741-908e-4cff-8f7d-3d3c46a00691,Pro League,Saudi-Arabia,48,5,0.919,high,,yes,sim=0.77 tok=0.67 contain=0.15
18963,Premijer Liga,Premijer Liga,bosnia-and-herzegovina,football/bosnia-and-herzegovina/premijer-liga,Bosnia & Herzegovina,f3717460-f8dc-4b94-9dc7-8b30aaa46102,Premijer Liga,Bosnia & Herzegovina,1,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18917,Eredivisie,Eredivisie,netherlands,football/netherlands/eredivisie,Netherlands,3a05f941-ee5f-44c4-8c9d-67ecf8ea5b3b,Eredivisie,Netherlands,45,21,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18912,1. HNL,1. HNL,croatia,football/croatia/1-hnl,Croatia,41c7b3e0-637e-4b3a-8d64-4d832ea413b7,HNL,Croatia,25,8,0.900,high,,yes,sim=0.75 tok=0.50 contain=0.15
18936,1.CFL,1.CFL,montenegro,football/montenegro/1cfl,Montenegro,5d076265-0c45-4d2d-974b-3c8a03353401,First League,Montenegro,20,1,1.000,high,,yes,manual override
19309,Virsliga,Virsliga,latvia,football/latvia/virsliga,Latvia,b4155492-e0ef-4be6-b535-f18887bd159f,Virsliga,Latvia,28,11,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19904,Liga MX,Liga MX,mexico,football/mexico/liga-mx,Mexico,f4b6eea8-b114-4ff2-b653-99909a141722,Liga MX,Mexico,30,2,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18910,Airtricity Premier League,Airtricity Premier League,ireland,football/ireland/airtricity-premier-league,Ireland,69715cfa-fa42-4009-a13b-5175758d6dc4,Premier Division,Ireland,21,25,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18967,Liga Águila,Liga Águila,colombia,football/colombia/liga-aguila,Colombia,e77ab582-6f07-4ffc-876b-f0e4fdb4f485,Primera A,Colombia,21,7,1.000,high,,yes,manual override
19014,Umaglesi Liga,Umaglesi Liga,georgia,football/georgia/umaglesi-liga,Georgia,f44bfd13-2966-4f4a-9b41-3aab65c6dda2,Erovnuli Liga,Georgia,27,6,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18761,Super League,Super League (Uganda),uganda,football/uganda/uganda-super-league,Uganda,84539407-5637-4490-b716-64c9eb49f041,Premier League,Uganda,32,3,0.769,medium,Uganda Super League / Premier League are the same competition,yes,sim=0.77 tok=0.50 contain=0.00
19348,Liga Leumit,Liga Leumit,israel,football/israel/liga-leumit,Israel,874a4fb1-8d99-4b47-b1bb-be7955a35ebe,Liga Leumit,Israel,37,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18900,Jupiler Pro League,Jupiler Pro League,belgium,football/belgium/jupiler-pro-league,Belgium,c71c0b50-6631-4c34-b2cc-205f117793f8,Jupiler Pro League,Belgium,47,21,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19514,Copa Libertadores,Copa Libertadores,americas,football/americas/copa-libertadores,World,4bd09038-37ed-4946-abab-0c60c28aaf47,CONMEBOL Libertadores,World,46,8,1.000,high,,yes,manual override
18928,1. Division,1. Division,cyprus,football/cyprus/1-division,Cyprus,395710c0-a5d1-4a5b-a85a-0f70b78a142f,1. Division,Cyprus,25,6,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18940,Ligue 1,Ligue 1 (Algeria),algeria,football/algeria/ligue-1,Algeria,9ec1cfe6-01d8-4ec6-a023-6c9f51c14ba7,Ligue 1,Algeria,24,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
25152,Série A,Série A,brazil,football/brazil/serie-a,Brazil,75c9c1e6-b2f8-45eb-a8fa-11b89c9ed377,Serie A,Brazil,30,6,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19081,Superliga,Superliga,serbia,football/serbia/superliga,Serbia,cfe61322-06e6-460f-a421-4634b4224016,Super Liga,Serbia,40,9,0.947,high,,yes,sim=0.95 tok=0.00 contain=0.00
19225,Ekstraklasa,T-Mobile Ekstraklasa,poland,football/poland/t-mobile-ekstraklasa,Poland,e6a70a69-7a51-4c26-a368-6491f2dab815,Ekstraklasa,Poland,37,27,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18926,A PFG,A PFG,bulgaria,football/bulgaria/a-pfg,Bulgaria,b25ad12d-fb30-4393-9779-395952b1b79d,First League,Bulgaria,37,14,1.000,high,,yes,manual override
19041,Liga 1,Liga 1 (Romania),romania,football/romania/liga-1-bergembier,Romania,c5069e46-4f5f-41e1-a45d-e891b8facc74,Liga I,Romania,34,10,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19150,Premier League,Premier League (Kazakhstan),kazakhstan,football/kazakhstan/kazakhstan-premier-league,Kazakhstan,59240292-7eb5-46d6-9e4e-58608bcd86f4,Premier League,Kazakhstan,25,3,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19085,Prva Liga,Prva Liga,slovenia,football/slovenia/prva-liga,Slovenia,ddfe81e7-ba88-46c6-a5fd-8ed9af80763e,Prva Liga,Slovenia,1,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19093,MLS,MLS,usa,football/usa/mls,USA,be4b77a9-1652-41f9-9c7b-601e5a01fd04,Major League Soccer,USA,58,29,1.000,high,,yes,manual override
51930,World Cup Specials,,world-cup,football/world-cup/world-cup-specials,World,99aa3400-ee95-43c0-afde-089dca041978,Friendlies,World,11,1,1.000,high,AF has no World Cup row; mapped to Friendlies as international-bucket fallback,yes,manual override
19112,Superettan,Superettan,sweden,football/sweden/superettan,Sweden,b1eb2f6a-77d3-412a-9c67-5c8818dd6bd2,Superettan,Sweden,33,8,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18916,Airtricity League First Division,Airtricity League First Division,ireland,football/ireland/airtricity-league-first-division,Ireland,e1047498-88e9-46cc-8a4c-9de3f512570b,First Division,Ireland,18,4,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
20501,Série B,Série B,brazil,football/brazil/serie-b,Brazil,2b751aba-29eb-4ce5-bdd5-8537062aa40a,Serie B,Brazil,30,8,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19197,Copa Postobón,Copa Postobón,colombia,football/colombia/copa-postobon,Colombia,68a6a6d5-5695-4f07-ae8f-834adacaba1d,Copa Colombia,Colombia,31,5,1.000,high,,yes,manual override
19331,K-League 2,K -League 2,south-korea,football/south-korea/korea-republic-k-league-challenge,South-Korea,17ded9fd-c713-4e03-979f-2cfaf0abafe7,K League 2,South-Korea,24,8,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19059,Cup,Cup (Czech),czech-republic,football/czech-republic/cup,Czech-Republic,7046a3d5-9a18-4ec9-b5cc-14680141484c,Cup,Czech-Republic,1,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19139,Football Federation Cup,Football Federation Cup,lithuania,football/lithuania/lithuanian-football-federation-cup,Lithuania,be3f75a2-5ae3-4734-9b33-f2f2aadb4106,Cup,Lithuania,17,1,0.650,medium,,yes,sim=0.35 tok=0.50 contain=0.15
18971,1. Division,1. Division (Denmark),denmark,football/denmark/1-division,Denmark,b50a4b1a-3fb4-4192-be40-25edb18d19ba,1. Division,Denmark,30,5,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18906,PTT 1. Lig,PTT 1. Lig,turkey,football/turkey/ptt-1-lig,Turkey,acc4faad-a780-4c50-847c-5e9e7705feb2,1. Lig,Turkey,24,1,0.864,high,,yes,sim=0.71 tok=0.67 contain=0.15
18956,Primera División,Primera División (Argentina),argentina,football/argentina/primera-division,Argentina,94a0beb9-62b8-4e8c-bc44-415cbb66cf75,Liga Profesional Argentina,Argentina,31,12,1.000,high,,yes,manual override
28551,Copa Sudamericana,Copa Sudamericana,americas,football/americas/copa-sudamericana,World,c7483064-f6f4-44d8-b708-8bff85bcdaf1,CONMEBOL Sudamericana,World,45,6,1.000,high,,yes,manual override
18976,Championship,Championship,england,football/england/championship,England,01ba89d6-1b7b-4ee7-95e9-adf8cd617afc,Championship,England,40,11,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
19051,OBOS-ligaen,First Division (Norway),norway,football/norway/first-division,Norway,655a0c95-dc74-495d-a999-5951fac011b8,OBOS-ligaen,Norway,1,0,1.000,high,,yes,manual override
20191,1. Division,1. Division (Iceland),iceland,football/iceland/1-division,Iceland,dc084ae8-ff54-4263-be44-8323fc9d44ae,1. Deild,Iceland,18,11,1.000,high,,yes,manual override
19226,DFB Pokal,DFB Pokal,germany,football/germany/dfb-pokal,Germany,9a6ff7df-7bf3-4115-8f09-7be3c9a4cf17,DFB Pokal - Women,Germany,1,1,0.900,high,,yes,sim=0.75 tok=0.67 contain=0.15
20138,Copa Argentina,Copa Argentina,argentina,football/argentina/copa-argentina,Argentina,6146e737-50fe-40af-b3c8-e556bab18de9,Copa Argentina,Argentina,4,1,1.000,high,,yes,manual override
61856,Group Stage Specials,,world-cup,football/world-cup/Group-Stage-Specials,World,99aa3400-ee95-43c0-afde-089dca041978,Friendlies,World,11,1,1.000,high,AF has no World Cup row; mapped to Friendlies as international-bucket fallback,yes,manual override
18995,Serie B,Serie B,italy,football/italy/serie-b,Italy,81156b2d-bc31-4c38-9f28-873a5158b873,Serie B,Italy,37,24,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18770,League One,League One,england,football/england/league-one,England,57ac2b84-63ea-41de-aea7-d817eda98a7b,League One,England,37,5,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
20136,Damallsvenskan,Damallsvenskan,sweden,football/sweden/swedish-damallsvenskan,Sweden,54bd8c4e-bd8c-4b0b-b9bf-58ea474e95d3,Damallsvenskan,Sweden,21,6,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
18982,League Two,League Two,england,football/england/league-two,England,e9095165-3e24-40ea-b474-f3c4c3381994,League Two,England,30,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
61857,Nation Specials,,world-cup,football/world-cup/World-Cup-Nation-Specials,World,99aa3400-ee95-43c0-afde-089dca041978,Friendlies,World,11,1,1.000,high,AF has no World Cup row; mapped to Friendlies as international-bucket fallback,yes,manual override
42880,Elitettan,Elitettan,sweden,football/sweden/elitettan,Sweden,5e69e405-c86a-4827-abcc-3b6e27d1141d,Elitettan,Sweden,21,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
